,state,industry,counts
9,CA,Business,62
109,NY,Business,36
142,TX,Healthcare,25
31,FL,Business,19
48,IL,Business,13
76,MI,Healthcare,11
114,OH,Business,11
63,MA,Business,10
81,MN,Healthcare,10
126,PA,Business,10
36,GA,Healthcare,9
14,CO,Business,8
83,MO,Business,8
150,VA,Business,8
68,MD,Healthcare,8
7,AZ,Healthcare,8
160,WA,Business,7
58,KY,Healthcare,7
53,IN,Healthcare,7
101,NJ,Business,7
18,CT,Healthcare,6
138,TN,Business,6
91,NC,Healthcare,6
122,OR,Healthcare,5
165,WI,Healthcare,5
147,UT,Business,4
72,ME,Business,4
41,IA,Healthcare,4
156,VT,Government,4
134,SC,Healthcare,3
107,NV,Business,3
88,MT,Business,3
60,LA,Business,3
56,KS,Healthcare,3
45,ID,Healthcare,3
106,NM,Healthcare,2
131,RI,Business,2
96,NE,Healthcare,2
97,NH,Business,2
119,OK,Business,2
86,MS,Healthcare,2
27,DE,Business,2
23,DC,Government,2
2,AL,Financial Services,2
169,WV,Business,1
136,SD,Financial Services,1
146,US,Healthcare,1
0,AK,Business,1
40,HI,Business,1
6,AR,Healthcare,1
95,ND,Education,1
171,WY,Healthcare,1
