ID,organization,state,industry,exposure,records
ITRC20170110-01,Legal Aid Society of Orange County,CA,Business,Yes - Published ,1239
ITRC20170120-04,PrimeWest Health / Summit Reinsurance ServicesInc.,MN,Medical/Healthcare,Yes - Published #,2441
ITRC20170120-05,Waiting Room Solutions LLP,NY,Medical/Healthcare,Yes - Published ,700
ITRC20170120-17,SpiraledgeInc. / SwimOutlet.com,CA,Business,Yes - Published #,426623
ITRC20170120-18,Contech Engineered Solutions,OH,Business,Yes - Unknown ,Unknown
ITRC20170120-20,Catholic Charities of Baltimore (Associated Catholic C,MD,Business,Yes - Published ,1145
ITRC20170120-22,Interpreters Unlimited,CA,Business,Yes - Published ,619
ITRC20170120-23,PopEyes / CCC Restaurant EnterprisesLLC.,LA,Business,Yes - Unknown #,Unknown
ITRC20170120-24,MrExcel.com,FL,Business,Yes - Unknown ,Unknown
ITRC20170120-25,Little Red Door Cancer Services of East Central Indian,IN,Business,Yes - Unknown ,Unknown
ITRC20170123-02,Bowlmor AMF,VA,Business,Yes - Published ,1335
ITRC20170127-01,International Code Council,DC,Business,Yes - Published ,11177
ITRC20170127-03,Charles Komar & Sons / Cuddl Duds,NJ,Business,Yes - Published ,25127
ITRC20170127-04,Pool Supply Unlimited,CA,Business,Yes - Unknown ,Unknown
ITRC20170127-07,Marin SoftwareInc.,CA,Business,Yes - Published #,795
ITRC20170127-08,UGI Utilities,PA,Business,Yes - Published ,1825
ITRC20170130-01,eHealthInsurance,CA,Business,Yes - Unknown ,Unknown
ITRC20170130-04,Sunrun,CA,Business,Yes - Published ,4000
ITRC20170130-08,Claremont Rug Co. / Paychex,NY,Business,Yes - Unknown ,Unknown
ITRC20170130-09,VICI Marketing LLC,FL,Business,Yes - Unknown ,Unknown
ITRC20170130-10,Honor Flight New England,NH,Business,Yes - Published ,649
ITRC20170130-12,Stax Inc.,NY,Business,Yes - Unknown ,Unknown
ITRC20170130-13,Safari Ltd.,FL,Business,Yes - Unknown ,Unknown
ITRC20170131-01,Scotty's Brewhouse,IN,Business,Yes - Published ,4000
ITRC20170201-02,XBOX 360 / PlayStation ISO Forum Accounts,WA,Business,Yes - Unknown ,Unknown
ITRC20170202-01,DBM Global,AZ,Business,Yes - Published ,5895
ITRC20170202-02,"Toys R Us",DE,Business,Yes - Unknown #,Unknown
ITRC20170202-05,Mitchell Gold + Bob Williams,NC,Business,Yes - Published ,1109
ITRC20170202-07,TransPerfect Global Inc.,NY,Business,Yes - Published ,4884
ITRC20170202-10,Renovate America,CA,Business,Yes - Published ,800
ITRC20170202-11,Harlingen Texas Motors,TX,Business,Yes - Unknown ,Unknown
ITRC20170203-01,KingMcNamaraMoriarty LLP,MA,Business,Yes - Published #,6791
ITRC20170203-02,Axis Insurance Services,NJ,Business,Yes - Unknown ,Unknown
ITRC20170203-03,Distribution International,TX,Business,Yes - Published ,1133
ITRC20170203-11,PIP Printing and MarketingServices,CA,Business,Yes - Unknown ,Unknown
ITRC20170206-01,Nakawatase & KaminskyCPAsLLP,CA,Business,Yes - Unknown #,Unknown
ITRC20170206-02,Carole Hochman,OK,Business,Yes - Unknown ,Unknown
ITRC20170206-03,M. Stanley Metz & CompanyInc.,MA,Business,Yes - Unknown #,Unknown
ITRC20170206-04,Le Mystere,OK,Business,Yes - Unknown ,Unknown
ITRC20170206-05,On Gossamer,FL,Business,Yes - Unknown ,Unknown
ITRC20170206-07,Anchor Packaging,AR,Business,Yes - Unknown ,Unknown
ITRC20170208-07,Sky ClimberLLC,DE,Business,Yes - Published #,1536
ITRC20170208-08,Conover Capital ManagementLLC / Conover Securitie,WA,Business,Yes - Published #,1351
ITRC20170208-10,West Michigan Whitecaps,MI,Business,Yes - Published ,230
