organization,state,date,type,industry,records
Calista Corporation,AK,1/7/2019,Electronic,Business,Unknown
University of Alaska (reported on,AK,1/26/2019,Electronic,Education,Unknown
Progress Bank,AL,1/1/2019,Electronic,Banking/Credit/Financial,Unknown
First Bank of Alabama,AL,1/27/2019,Electronic,Banking/Credit/Financial,Unknown
Professional Tax & Accounting,AL,1/18/2019,Paper Data,Business,Unknown
Kim P. Kornegay DMD,AL,1/19/2019,Paper Data,Medical/Healthcare,27000
Auburn University (reported on,AL,1/4/2019,Electronic,Education,155
"Little Rock Cancer Clinic, P.A.",AR,1/11/2019,Electronic,Medical/Healthcare,3804
Village Health Clubs,AZ,1/9/2019,Electronic,Business,Unknown
Mountain Valley Regional,AZ,1/18/2019,Electronic,Medical/Healthcare,Unknown
SkyMed Medical Evacuation,AZ,1/29/2019,Electronic,Medical/Healthcare,136995
Maffi Clinics,AZ,1/6/2019,Electronic,Medical/Healthcare,10465
"Desert Healthcare Services, LLC",AZ,1/11/2019,Electronic,Medical/Healthcare,8000
AZ Plastic Surgery Center,AZ,1/8/2019,Electronic,Medical/Healthcare,5524
Arizona Health Care Cost Containment,AZ,1/11/2019,Paper Data,Medical/Healthcare,3146
"RevolutionParts, Inc.",AZ,1/24/2019,Electronic,Business,2190
"Brenda LaTowsky, M.D., PLC",AZ,1/17/2019,Electronic,Medical/Healthcare,1282
Kingman Regional Medical Center,AZ,1/7/2019,Electronic,Medical/Healthcare,1100
"Applied Data Finance, LLC dba",CA,1/1/2019,Electronic,Banking/Credit/Financial,Unknown
First American (Title) Financial Corp.,CA,1/24/2019,Electronic,Banking/Credit/Financial,Unknown
"International E-Z UP, Inc.",CA,1/11/2019,Electronic,Business,Unknown
"Jensen Enterprises, Inc. dba Jensen",CA,1/11/2019,Electronic,Business,Unknown
Rubrik,CA,1/29/2019,Electronic,Business,Unknown
Houzz,CA,1/31/2019,Electronic,Business,Unknown
Real Estate Digital,CA,1/7/2019,Electronic,Business,Unknown
"ArmorGames, Inc (reported on",CA,1/11/2019,Electronic,Business,Unknown
Coffee Meets Bagel,CA,1/11/2019,Electronic,Business,Unknown
"David B. Cheatham, CPA",CA,1/11/2019,Electronic,Business,Unknown
HauteLook,CA,1/11/2019,Electronic,Business,Unknown
"ShareThis, Inc.",CA,1/11/2019,Electronic,Business,Unknown
pillowpets.com (CJ Products Inc.),CA,1/15/2019,Electronic,Business,Unknown
GfyCat,CA,1/17/2019,Electronic,Business,Unknown
Pizap,CA,1/17/2019,Electronic,Business,Unknown
"Martin, Hutchison & Hohman, CPAs",CA,1/19/2019,Electronic,Business,Unknown
Del Taco LLC - employment information,CA,1/21/2019,Electronic,Business,Unknown
"San Antonio Winery, Inc.",CA,1/26/2019,Electronic,Business,Unknown
"Golden Lion Operations, Inc.",CA,1/4/2019,Electronic,Business,Unknown
"Trakt (""Trakt.tv"")",CA,1/7/2019,Electronic,Business,Unknown
Apple Inc. (service provider Concentrix),CA,1/21/2019,Electronic,Business,Unknown
Bridger Insurance Services,CA,1/22/2019,Electronic,Business,Unknown
Kanopy Inc.,CA,1/24/2019,Electronic,Business,Unknown
Nasif Hicks Harris and Co LLP,CA,1/26/2019,Electronic,Business,Unknown
Polaris Real Estate Partners LP,CA,1/5/2019,Electronic,Business,Unknown
Evite,CA,1/15/2019,Electronic,Business,Unknown
iCracked,CA,1/15/2019,Electronic,Business,Unknown
Wanelo,CA,1/15/2019,Electronic,Business,Unknown
International Agri-Center,CA,1/19/2019,Electronic,Business,Unknown
Evisort,CA,1/22/2019,Electronic,Business,Unknown
Docker Hub,CA,1/26/2019,Electronic,Business,Unknown
At the Pool - app/Facebook user data,CA,1/3/2019,Electronic,Business,Unknown
RapidScale,CA,1/16/2019,Electronic,Business,Unknown
Redtail Technology Inc.,CA,1/21/2019,Electronic,Business,Unknown
Flipboard,CA,1/28/2019,Electronic,Business,Unknown
Hannibal Industries Inc.,CA,1/31/2019,Electronic,Business,Unknown
"Tessera Technologes, Inc. (collectively",CA,1/31/2019,Electronic,Business,Unknown
William Lyon Homes,CA,1/31/2019,Electronic,Business,Unknown
Collie Accountancy,CA,1/7/2019,Electronic,Business,Unknown
giftcardmall.com (IM Shopping Inc.),CA,1/14/2019,Electronic,Business,Unknown
RealtyShares,CA,1/5/2019,Electronic,Business,Unknown
"California Natural Products (""CNP"")",CA,1/7/2019,Electronic,Business,Unknown
Stanford University (content,CA,1/14/2019,Electronic,Education,Unknown
Centinela Valley Union High School,CA,1/19/2019,Electronic,Education,Unknown
Carmel Unified School District,CA,1/8/2019,Electronic,Education,Unknown
San Francisco Unified School District,CA,1/22/2019,Electronic,Education,Unknown
Placer Union High School District,CA,1/17/2019,Electronic,Education,Unknown
Capistrano Unified School District,CA,1/30/2019,Electronic,Education,Unknown
City College of San Francisco,CA,1/25/2019,Electronic,Education,Unknown
Verity Medical Foundation - Social,CA,1/26/2019,Electronic,Medical/Healthcare,Unknown
Sierra View Medical Center - current,CA,1/1/2019,Electronic,Medical/Healthcare,Unknown
Meditab Software Inc. and affiliate,CA,1/18/2019,Electronic,Medical/Healthcare,Unknown
SeaSpine Orthopedics Corporation,CA,1/29/2019,Electronic,Medical/Healthcare,Unknown
Citrus Valley Health Partners,CA,1/5/2019,Electronic,Medical/Healthcare,Unknown
UCLA Health (vendor Eurofins VRL,CA,1/5/2019,Electronic,Medical/Healthcare,Unknown
St. Vincent Medical Center (Verity,CA,1/3/2019,Electronic,Medical/Healthcare,Unknown
UCSD and Christie's Place - EmPower,CA,1/9/2019,Electronic,Medical/Healthcare,Unknown
Delta Health Systems - Turlock,CA,1/4/2019,Electronic,Medical/Healthcare,Unknown
Local Initiative Health Authority of Los,CA,1/18/2019,Paper Data,Medical/Healthcare,Unknown
Century Spring Corp. (reported on,CA,1/8/2019,Electronic,Business,Unknown
Yogurtland,CA,1/24/2019,Electronic,Business,Unknown
Jobscience Inc. (TalentPath product),CA,1/3/2019,Electronic,Business,1750000
"Centrelake Medical Group, Inc.",CA,1/16/2019,Electronic,Medical/Healthcare,197661
Princess Polly Group,CA,1/30/2019,Electronic,Business,168008
flexPATH Strategies LLC,CA,1/15/2019,Electronic,Business,91769
A&A Global Imports,CA,1/9/2019,Electronic,Business,52441
E ncompass Family and internal,CA,1/13/2019,Electronic,Medical/Healthcare,26000
Encompass Family and internal,CA,1/13/2019,Electronic,Medical/Healthcare,26000
S hingle Springs Health and Wellness,CA,1/5/2019,Electronic,Medical/Healthcare,21513
Shingle Springs Health and Wellness,CA,1/5/2019,Electronic,Medical/Healthcare,21513
T3 Micro Inc.,CA,1/20/2019,Electronic,Business,20881
California Physicians' Service d/b/a,CA,1/15/2019,Electronic,Medical/Healthcare,18416
Verity Medical Foundation (reported on,CA,1/26/2019,Electronic,Medical/Healthcare,14894
Salt Life,CA,1/3/2019,Electronic,Business,14267
"Cambridge Healthcare Services, LLC",CA,1/30/2019,Electronic,Medical/Healthcare,10866
Hourglass Cosmetics,CA,1/15/2019,Electronic,Business,9626
Covenant Care,CA,1/6/2019,Electronic,Medical/Healthcare,7678
Sharecare Health Data Services,CA,1/11/2019,Electronic,Medical/Healthcare,7300
Dr. T.Y. Steven Ip M.D.,CA,1/18/2019,Electronic,Medical/Healthcare,6326
AltaMed Health Services Corporation,CA,1/15/2019,Electronic,Medical/Healthcare,6000
Gardner Family Health Network,CA,1/28/2019,Paper Data,Medical/Healthcare,5064
Sheet Metal Workers' Local Union No.,CA,1/18/2019,Electronic,Business,5047
Brighton Collectibles LLC,CA,1/22/2019,Electronic,Business,4550
Historical Emporium Inc.,CA,1/31/2019,Electronic,Business,4366
Adventist Health Physician Services,CA,1/21/2019,Paper Data,Medical/Healthcare,3797
"American Indian Health & services, Inc.",CA,1/6/2019,Electronic,Medical/Healthcare,3784
Loungefly LLC,CA,1/26/2019,Electronic,Business,3600
Gary W. Peer M.D.,CA,1/18/2019,Electronic,Medical/Healthcare,3400
OB Pharmacy,CA,1/3/2019,Electronic,Medical/Healthcare,3241
Verity Health System (reported on,CA,1/25/2019,Electronic,Medical/Healthcare,2988
Hot Line Construction Inc.,CA,1/24/2019,Electronic,Business,2812
Health Net of California and Health Net,CA,1/14/2019,Paper Data,Medical/Healthcare,2404
"Welk Resort Group, Inc. (reported on",CA,1/22/2019,Electronic,Business,1872
"Bayside Covenant Church, Inc.",CA,1/5/2019,Electronic,Business,1611
LA Care Health Plan (reported on,CA,1/15/2019,Paper Data,Medical/Healthcare,1506
LA Care Health Plan (reported on,CA,1/15/2019,Paper Data,Medical/Healthcare,1506
CM Group Holdings dba Creative,CA,1/1/2019,Electronic,Business,1251
Orange County Sanitation District,CA,1/11/2019,Electronic,Government/Military,1000
Kenra Professional,CA,1/3/2019,Electronic,Business,969
Molina Healthcare (reported on,CA,1/22/2019,Electronic,Medical/Healthcare,895
James Perse Enterprises,CA,1/13/2019,Electronic,Business,684
Boulevard Surgical Associates,CA,1/20/2019,Paper Data,Medical/Healthcare,542
Village Hat Shop,CA,1/18/2019,Electronic,Business,300
"American Tire Distributors, Inc.",CA,1/8/2019,Electronic,Business,257
Castlight Health Inc.,CA,1/10/2019,Electronic,Business,71
Apple Mortgage,CO,1/5/2019,Electronic,Banking/Credit/Financial,Unknown
Wenner Group LLC,CO,1/21/2019,Electronic,Business,Unknown
Gifted Development Center,CO,1/29/2019,Electronic,Business,Unknown
Ifficient,CO,1/16/2019,Electronic,Business,Unknown
Total Registration,CO,1/9/2019,Electronic,Business,Unknown
