index,state,records
0,AK,66398.0
1,AL,1585162.0
2,AR,385850.0
3,AZ,7251733.0
4,CA,24727383.0
5,CO,424854.0
6,CT,1406739.0
7,DC,39542653.0
8,DE,337400.0
9,FL,6107693.0
10,GA,214974026.0
11,HI,162222.0
12,IA,1622056.0
13,ID,864323.0
14,IL,8451292.0
15,IN,107562801.0
16,KS,252086.0
17,KY,2383339.0
18,LA,126852.0
19,MA,2862419.0
20,MD,387069125.0
21,ME,86327.0
22,MI,1000502.0
23,MN,848137.0
24,MO,1921011.0
25,MS,327609.0
26,MT,1175818.0
27,NC,13314782.0
28,ND,311942.0
29,NE,229904.0
30,NH,176811.0
31,NJ,14369763.0
32,NM,85195.0
33,NV,313776.0
34,NY,24575672.0
35,OH,1737214.0
36,OK,5744576.0
37,OR,3148440.0
38,PA,1776823.0
39,RI,52757.0
40,SC,248370.0
41,SD,24079.0
42,TN,5977995.0
43,TX,17005655.0
44,US,10286434.0
45,UT,316266.0
46,VA,4542464.0
47,VT,80624.0
48,WA,41571833.0
49,WI,621030.0
50,WV,6952.0
51,WY,40393.0
