site,BreachDate,Domain,PwnCount,DataClasses
000webhost,2015-03-01,000webhost.com,14936670,"['Email addresses', 'IP addresses', 'Names', 'Passwords']"
126,2012-01-01,126.com,6414191,"['Email addresses', 'Passwords']"
17Media,2016-04-19,17app.co,4009640,"['Device information', 'Email addresses', 'IP addresses', 'Passwords', 'Usernames']"
17173,2011-12-28,17173.com,7485802,"['Email addresses', 'Passwords', 'Usernames']"
2844Breaches,2018-02-19,,80115532,"['Email addresses', 'Passwords']"
2fast4u,2017-12-20,2fast4u.be,17706,"['Email addresses', 'Passwords', 'Usernames']"
500px,2018-07-05,500px.com,14867999,"['Dates of birth', 'Email addresses', 'Genders', 'Geographic locations', 'Names', 'Passwords', 'Usernames']"
7k7k,2011-01-01,7k7k.com,9121434,"['Email addresses', 'Passwords', 'Usernames']"
8fit,2018-07-01,8fit.com,15025407,"['Email addresses', 'Genders', 'Geographic locations', 'IP addresses', 'Names', 'Passwords']"
8tracks,2017-06-27,8tracks.com,7990619,"['Email addresses', 'Passwords']"
Abandonia,2015-11-01,abandonia.com,776125,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']"
AbuseWithUs,2016-07-01,abusewith.us,1372550,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']"
AcneOrg,2014-11-25,acne.org,432943,"['Dates of birth', 'Email addresses', 'IP addresses', 'Passwords', 'Usernames']"
Adapt,2018-11-05,adapt.io,9363740,"['Email addresses', 'Employers', 'Job titles', 'Names', 'Phone numbers', 'Physical addresses', 'Social media profiles']"
Adobe,2013-10-04,adobe.com,152445165,"['Email addresses', 'Password hints', 'Passwords', 'Usernames']"
AdultFriendFinder,2015-05-21,adultfriendfinder.com,3867997,"['Dates of birth', 'Email addresses', 'Genders', 'Geographic locations', 'IP addresses', 'Races', 'Relationship statuses', 'Sexual orientations', 'Spoken languages', 'Usernames']"
AdultFanFiction,2018-05-30,adult-fanfiction.org,186082,"['Dates of birth', 'Email addresses', 'Names', 'Passwords']"
AerServ,2018-04-01,aerserv.com,66308,"['Email addresses', 'Employers', 'Job titles', 'Names', 'Passwords', 'Phone numbers', 'Physical addresses']"
AhaShare,2013-05-30,ahashare.com,180468,"['Email addresses', 'Genders', 'Geographic locations', 'IP addresses', 'Passwords', 'Usernames', 'Website activity', 'Years of birth']"
AIType,2017-12-05,aitype.com,20580060,"['Address book contacts', 'Apps installed on devices', 'Cellular network names', 'Dates of birth', 'Device information', 'Email addresses', 'Genders', 'Geographic locations', 'IMEI numbers', 'IMSI numbers', 'IP addresses', 'Names', 'Phone numbers', 'Profile photos', 'Social media profiles']"
Aipai,2016-09-27,aipai.com,6496778,"['Email addresses', 'Passwords']"
AKP,2016-07-19,akparti.org.tr,917461,"['Email addresses', 'Email messages']"
Ancestry,2015-11-07,ancestry.com,297806,"['Email addresses', 'Passwords']"
AndroidForums,2011-10-30,androidforums.com,745355,"['Dates of birth', 'Email addresses', 'Homepage URLs', 'Instant messenger identities', 'IP addresses', 'Passwords']"
AntiPublic,2016-12-16,,457962538,"['Email addresses', 'Passwords']"
Apollo,2018-07-23,apollo.io,125929660,"['Email addresses', 'Employers', 'Geographic locations', 'Job titles', 'Names', 'Phone numbers', 'Salutations', 'Social media profiles']"
Appartoo,2017-03-25,appartoo.com,49681,"['Ages', 'Auth tokens', 'Email addresses', 'Employment statuses', 'Genders', 'IP addresses', 'Marital statuses', 'Names', 'Passwords', 'Physical addresses', 'Private messages', 'Social media profiles']"
ArmyForceOnline,2016-05-18,armyforceonline.com,1531235,"['Avatars', 'Email addresses', 'Geographic locations', 'IP addresses', 'Names', 'Passwords', 'Usernames', 'Website activity']"
AshleyMadison,2015-07-19,ashleymadison.com,30811934,"['Dates of birth', 'Email addresses', 'Ethnicities', 'Genders', 'Names', 'Passwords', 'Payment histories', 'Phone numbers', 'Physical addresses', 'Security questions and answers', 'Sexual orientations', 'Usernames', 'Website activity']"
AstroPID,2013-12-19,astropid.com,5788,"['Email addresses', 'Instant messenger identities', 'IP addresses', 'Names', 'Passwords', 'Private messages', 'Usernames', 'Website activity']"
Aternos,2015-12-06,aternos.org,1436486,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames', 'Website activity']"
AtlasQuantum,2018-08-25,atlasquantum.com,261463,"['Account balances', 'Email addresses', 'Names', 'Phone numbers']"
Autocentrum,2018-02-04,autocentrum.pl,143717,"['Email addresses', 'Passwords']"
Avast,2014-05-26,avast.com,422959,"['Email addresses', 'Passwords', 'Usernames']"
B2BUSABusinesses,2017-07-18,,105059554,"['Email addresses', 'Employers', 'Job titles', 'Names', 'Phone numbers', 'Physical addresses']"
BabyNames,2008-10-24,babynames.com,846742,"['Email addresses', 'Passwords']"
Badoo,2013-06-01,badoo.com,112005531,"['Dates of birth', 'Email addresses', 'Genders', 'Names', 'Passwords', 'Usernames']"
BannerBit,2018-12-29,bannerbit.com,213415,"['Email addresses', 'Passwords']"
BattlefieldHeroes,2011-06-26,battlefieldheroes.com,530270,"['Passwords', 'Usernames']"
BeautifulPeople,2015-11-11,beautifulpeople.com,1100089,"['Beauty ratings', 'Car ownership statuses', 'Dates of birth', 'Drinking habits', 'Education levels', 'Email addresses', 'Genders', 'Geographic locations', 'Home ownership statuses', 'Income levels', 'IP addresses', 'Job titles', 'Names', 'Passwords', 'Personal descriptions', 'Personal interests', 'Physical attributes', 'Sexual orientations', 'Smoking habits', 'Website activity']"
Bell,2014-02-01,bell.ca,20902,"['Credit cards', 'Genders', 'Passwords', 'Usernames']"
Bell2017,2017-05-15,bell.ca,2231256,"['Email addresses', 'Geographic locations', 'IP addresses', 'Job titles', 'Names', 'Passwords', 'Phone numbers', 'Spoken languages', 'Survey results', 'Usernames']"
Bestialitysextaboo,2018-03-19,bestialitysextaboo.com,3204,"['Dates of birth', 'Email addresses', 'Genders', 'Geographic locations', 'IP addresses', 'Passwords', 'Private messages', 'Usernames']"
BigMoneyJobs,2014-04-03,bigmoneyjobs.com,36789,"['Career levels', 'Education levels', 'Email addresses', 'Names', 'Passwords', 'Phone numbers', 'Physical addresses', 'Salutations', 'User website URLs', 'Website activity']"
BinWeevils,2014-09-01,binweevils.com,1287073,"['Ages', 'Email addresses', 'Genders', 'IP addresses', 'Passwords', 'Usernames']"
BiohackMe,2016-12-02,biohack.me,3402,"['Email addresses', 'Passwords', 'Private messages', 'Usernames']"
BTSec,2014-01-09,forum.btcsec.com,4789599,"['Email addresses', 'Passwords']"
BitcoinTalk,2015-05-22,bitcointalk.org,501407,"['Dates of birth', 'Email addresses', 'Genders', 'IP addresses', 'Passwords', 'Security questions and answers', 'Usernames', 'Website activity']"
Bitly,2014-05-08,bitly.com,9313136,"['Email addresses', 'Passwords', 'Usernames']"
BitTorrent,2016-01-01,bittorrent.com,34235,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']"
BlackHatWorld,2014-06-23,blackhatworld.com,777387,"['Dates of birth', 'Email addresses', 'Instant messenger identities', 'IP addresses', 'Passwords', 'Usernames', 'Website activity']"
BlankMediaGames,2018-12-28,blankmediagames.com,7633234,"['Browser user agent details', 'Email addresses', 'IP addresses', 'Passwords', 'Purchases', 'Usernames', 'Website activity']"
Bolt,2017-03-01,bolt.cd,995274,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']"
BombujEu,2018-12-07,bombuj.eu,575437,"['Email addresses', 'Passwords']"
Bookmate,2018-07-08,bookmate.com,3830916,"['Dates of birth', 'Email addresses', 'Genders', 'Geographic locations', 'Names', 'Passwords', 'Usernames']"
BotOfLegends,2014-11-13,botoflegends.com,238373,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames', 'Website activity']"
Boxee,2014-03-29,forums.boxee.com,158093,"['Dates of birth', 'Email addresses', 'Geographic locations', 'Historical passwords', 'Instant messenger identities', 'IP addresses', 'Passwords', 'Private messages', 'User website URLs', 'Usernames']"
Brazzers,2013-04-01,brazzers.com,790724,"['Email addresses', 'Passwords', 'Usernames']"
BTCE,2014-10-01,btc-e.com,568340,"['Account balances', 'Email addresses', 'IP addresses', 'Passwords', 'Usernames', 'Website activity']"
Bukalapak,2017-10-23,bukalapak.com,13369666,"['Email addresses', 'IP addresses', 'Names', 'Passwords', 'Usernames']"
BusinessAcumen,2014-04-25,businessacumen.biz,26596,"['Email addresses', 'Names', 'Passwords', 'Usernames', 'Website activity']"
CafeMom,2014-04-10,cafemom.com,2628148,"['Email addresses', 'Passwords']"
CannabisForum,2014-02-05,cannabis.com,227746,"['Dates of birth', 'Email addresses', 'Geographic locations', 'Historical passwords', 'Instant messenger identities', 'IP addresses', 'Passwords', 'Private messages', 'Usernames', 'Website activity']"
CashCrate,2016-11-17,cashcrate.com,6844490,"['Email addresses', 'Names', 'Passwords', 'Physical addresses']"
CDProjektRed,2016-03-01,cdprojektred.com,1871373,"['Email addresses', 'Passwords', 'Usernames']"
CheapAssGamer,2015-07-01,cheapassgamer.com,444767,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']"
CivilOnline,2011-07-10,co188.com,7830195,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames', 'Website activity']"
ClixSense,2016-09-04,clixsense.com,2424784,"['Account balances', 'Dates of birth', 'Email addresses', 'Genders', 'IP addresses', 'Names', 'Passwords', 'Payment histories', 'Payment methods', 'Physical addresses', 'Usernames', 'Website activity']"
CloudPets,2017-01-01,cloudpets.com,583503,"['Email addresses', ""Family members' names"", 'Passwords']"
ClubPenguinRewritten,2018-01-21,cprewritten.net,1688176,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']"
Coachella,2017-02-22,coachella.com,599802,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']"
Collection1,2019-01-07,,772904991,"['Email addresses', 'Passwords']"
Comcast,2015-11-08,comcast.net,616882,"['Email addresses', 'Passwords', 'Physical addresses']"
COMELEC,2016-03-27,comelec.gov.ph,228605,"['Biometric data', 'Dates of birth', 'Email addresses', ""Family members' names"", 'Genders', 'Job titles', 'Marital statuses', 'Names', 'Passport numbers', 'Phone numbers', 'Physical addresses', 'Physical attributes']"
CouponMomAndArmorGames,2014-02-08,,11010525,"['Email addresses', 'Passwords']"
CrackCommunity,2013-09-09,crackcommunity.com,19210,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames', 'Website activity']"
CrackingForum,2016-07-01,crackingforum.com,660305,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']"
Creative,2018-05-01,creative.com,483015,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']"
CrimeAgencyVBulletin,2017-01-19,,942044,"['Email addresses', 'Passwords', 'Usernames']"
CrossFire,2016-08-08,cfire.mail.ru,12865609,"['Email addresses', 'Passwords', 'Usernames']"
D3scene,2016-01-01,d3scene.com,568827,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']"
DaFont,2017-05-16,dafont.com,637340,"['Email addresses', 'Passwords', 'Usernames']"
Dailymotion,2016-10-20,dailymotion.com,85176234,"['Email addresses', 'Passwords', 'Usernames']"
Dangdang,2011-06-01,dangdang.com,4848734,['Email addresses']
DaniWeb,2015-12-01,daniweb.com,1131636,"['Email addresses', 'IP addresses', 'Passwords']"
DataAndLeads,2018-11-14,datanleads.com,44320330,"['Email addresses', 'Employers', 'IP addresses', 'Job titles', 'Names', 'Phone numbers', 'Physical addresses']"
DataEnrichment,2016-12-23,,8176132,"['Buying preferences', 'Charitable donations', 'Credit status information', 'Dates of birth', 'Email addresses', 'Family structure', 'Financial investments', 'Home ownership statuses', 'Income levels', 'Job titles', 'Marital statuses', 'Names', 'Net worths', 'Phone numbers', 'Physical addresses', 'Political donations']"
DataCamp,2017-01-30,datacamp.com,760561,"['Email addresses', 'Geographic locations', 'IP addresses', 'Names', 'Passwords']"
DemonForums,2019-02-20,demonforums.net,52623,"['Email addresses', 'Passwords', 'Usernames']"
devkitPro,2019-02-03,devkitpro.org,1508,"['Email addresses', 'Passwords', 'Private messages']"
DietCom,2014-08-10,diet.com,1383759,"['Dates of birth', 'Eating habits', 'Email addresses', 'IP addresses', 'Names', 'Passwords', 'Physical attributes', 'Usernames']"
Digimon,2016-09-05,digimon.co.in,7687679,"['Email addresses', 'Email messages', 'IP addresses', 'Names']"
Disqus,2012-07-01,disqus.com,17551044,"['Email addresses', 'Passwords', 'Usernames']"
DLH,2016-07-31,dlh.net,3264710,"['Dates of birth', 'Email addresses', 'Names', 'Passwords', 'Usernames', 'Website activity']"
Dodonew,2011-12-01,dodonew.com,8718404,"['Email addresses', 'Usernames']"
Dominos,2014-06-13,pizza.dominos.be,648231,"['Email addresses', 'Names', 'Passwords', 'Phone numbers', 'Physical addresses']"
Dropbox,2012-07-01,dropbox.com,68648009,"['Email addresses', 'Passwords']"
Dubsmash,2018-12-01,dubsmash.com,161749950,"['Email addresses', 'Geographic locations', 'Names', 'Passwords', 'Phone numbers', 'Spoken languages', 'Usernames']"
DDO,2013-04-02,ddo.com,1580933,"['Dates of birth', 'Email addresses', 'IP addresses', 'Passwords', 'Usernames', 'Website activity']"
Duowan,2011-01-01,duowan.com,2639894,"['Email addresses', 'Passwords', 'Usernames']"
DVDShopCH,2017-12-05,dvd-shop.ch,67973,"['Email addresses', 'Passwords']"
Edmodo,2017-05-11,edmodo.com,43423561,"['Email addresses', 'Passwords', 'Usernames']"
Elance,2009-01-01,elance.com,1291178,"['Email addresses', 'Employers', 'Geographic locations', 'Passwords', 'Phone numbers', 'Usernames']"
ElasticsearchSalesLeads,2018-10-29,,5788169,"['Email addresses', 'Employers', 'Names', 'Physical addresses']"
Emuparadise,2018-04-01,emuparadise.me,1131229,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']"
EpicGames,2016-08-11,epicgames.com,251661,"['Email addresses', 'Passwords', 'Usernames']"
Eroticy,2015-06-01,eroticy.com,1370175,"['Email addresses', 'IP addresses', 'Names', 'Passwords', 'Payment histories', 'Phone numbers', 'Physical addresses', 'Usernames', 'Website activity']"
