Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Investor Names
Seed Round - LogRocket,https://www.crunchbase.com/funding_round/logrocket-seed--9c1b2482,LogRocket,https://www.crunchbase.com/organization/logrocket,Seed,4000000,USD,4000000,2017-08-28,"Kevin Mahaffey, Matrix Partners, Nitesh Banta"
Convertible Note - PatternEx,https://www.crunchbase.com/funding_round/patternex-convertible-note--7c4dafcf,PatternEx,https://www.crunchbase.com/organization/patternex,Convertible Note,,,,2017-07-16,"CTW Venture Partners, Maxim Ventures, Monta Vista Capital"
Seed Round - Dover Microsystems,https://www.crunchbase.com/funding_round/dover-microsystems-seed--4d80d47d,Dover Microsystems,https://www.crunchbase.com/organization/dover-microsystems,Seed,6000000,USD,6000000,2018-02-21,"Draper, Hub Angels Investment Group, Hyperplane Venture Capital, Qualcomm Ventures"
Venture Round - Hornetsecurity,https://www.crunchbase.com/funding_round/hornetsecurity-series-unknown--ce43de36,Hornetsecurity,https://www.crunchbase.com/organization/hornetsecurity,Venture - Series Unknown,,,,2017-10-27,
Series A - Rubica,https://www.crunchbase.com/funding_round/rubica-series-a--a34d5ef3,Rubica,https://www.crunchbase.com/organization/rubica,Series A,9000000,USD,9000000,2018-03-13,"Anonymous Trust, Lerer Hippeau, Reflective Venture Partners, Slow Ventures, Upfront Ventures"
Seed Round - Smile Identity,https://www.crunchbase.com/funding_round/smile-identity-seed--0304758f,Smile Identity,https://www.crunchbase.com/organization/smile-identity,Seed,,,,2018-04-09,"500 Startups, Intercept Ventures, Susa Ventures, ValueStream Ventures"
Seed Round - Giroxx,https://www.crunchbase.com/funding_round/giroxx-seed--c85aeb9e,Giroxx,https://www.crunchbase.com/organization/giroxx,Seed,500000,EUR,594646,2017-09-04,Hessen Kapital I GmbH
Venture Round - AlloVoisins,https://www.crunchbase.com/funding_round/allovoisins-series-unknown--7f6a1822,AlloVoisins,https://www.crunchbase.com/organization/allovoisins,Venture - Series Unknown,3000000,EUR,3678251,2018-02-08,"RTL Group, Verdoso Media"
Venture Round - Keep,https://www.crunchbase.com/funding_round/keep-series-unknown--ed0ee4c9,Keep,https://www.crunchbase.com/organization/keep,Venture - Series Unknown,,,,2018-04-01,"Andreessen Horowitz, Compound, Dekrypt Capital, Fabric Ventures, Green Bay Ventures, Polychain, Synapse Capital"
Seed Round - XCloud Networks,https://www.crunchbase.com/funding_round/xcloud-networks-seed--3dbd7d1b,XCloud Networks,https://www.crunchbase.com/organization/xcloud-networks,Seed,560000,USD,560000,2018-01-11,"Berge Berge Ayvazian, Granatus Ventures, HI Cisco, Hrachya Aghajanyan, Nucleus Investments, SmartGateVC"
Seed Round - Smart Protection,https://www.crunchbase.com/funding_round/smart-protection-seed--48b59ff1,Smart Protection,https://www.crunchbase.com/organization/smart-protection,Seed,880000,EUR,1003591,2017-07-13,"Bankinter Capital Riesgo, Big Sur Ventures, JME Ventures, Wayra"
Seed Round - Criptext,https://www.crunchbase.com/funding_round/criptext-seed--900b792c,Criptext,https://www.crunchbase.com/organization/criptext,Seed,625000,USD,625000,2017-11-01,Marina Acton
Pre Seed Round - Awen Collective Ltd,https://www.crunchbase.com/funding_round/awen-collective-ltd-pre-seed--47fac1b2,Awen Collective Ltd,https://www.crunchbase.com/organization/awen-collective-ltd,Pre-Seed,,,,2018-01-11,"Development Bank of Wales, Ian Merricks, Inspire Growth Wales"
Debt Financing - siOPTICA,https://www.crunchbase.com/funding_round/sioptica-debt-financing--adb2a162,siOPTICA,https://www.crunchbase.com/organization/sioptica,Debt Financing,4000000,EUR,4987294,2018-02-14,bm-t beteiligungsmanagement thüringen
Venture Round - Kaseya,https://www.crunchbase.com/funding_round/kaseya-series-unknown--653955ee,Kaseya,https://www.crunchbase.com/organization/kaseya,Venture - Series Unknown,38000000,EUR,44777315,2017-11-15,Ireland Strategic Investment Fund
Seed Round - Loqr,https://www.crunchbase.com/funding_round/loqr-seed--b4b4c8e6,Loqr,https://www.crunchbase.com/organization/loqr,Seed,1140000,EUR,1402476,2018-03-29,"Betwixt Ventures, Big Start Ventures, EDP, REDangels, Startup Braga"
Convertible Note - Simtek,https://www.crunchbase.com/funding_round/simtek-2-convertible-note--f35d6540,Simtek,https://www.crunchbase.com/organization/simtek-2,Convertible Note,500000,USD,500000,2018-01-01,"Brady Simpson, Charlie Cheever, GE32 Capital, Graph Ventures"
Private Equity Round - Clearway Group,https://www.crunchbase.com/funding_round/clearway-group-private-equity--9e434edb,Clearway Group,https://www.crunchbase.com/organization/clearway-group,Private Equity,23000000,GBP,32052488,2018-04-25,"Business Growth Fund, Santander UK"
Venture Round - Vision CCTV,https://www.crunchbase.com/funding_round/vision-cctv-series-unknown--32d796d8,Vision CCTV,https://www.crunchbase.com/organization/vision-cctv,Venture - Series Unknown,150000,GBP,198102,2017-09-13,"Mercia Technologies, Northern Powerhouse Investment Fund"
Venture Round - AimBrain,https://www.crunchbase.com/funding_round/aimbrain-series-unknown--c2ea060e,AimBrain,https://www.crunchbase.com/organization/aimbrain,Venture - Series Unknown,,,,2018-01-25,Upscale
Venture Round - Panaseer,https://www.crunchbase.com/funding_round/panaseer-series-unknown--0be99b95,Panaseer,https://www.crunchbase.com/organization/panaseer,Venture - Series Unknown,,,,2018-01-25,Upscale
Venture Round - B-Secur,https://www.crunchbase.com/funding_round/b-secur-series-unknown--ff6b970a,B-Secur,https://www.crunchbase.com/organization/b-secur,Venture - Series Unknown,,,,2018-01-25,Upscale
Seed Round - Wootcloud,https://www.crunchbase.com/funding_round/wootcloud-seed--bee67be7,Wootcloud,https://www.crunchbase.com/organization/wootcloud,Seed,2800000,USD,2800000,2017-08-31,"Clear Ventures, Nexus Venture Partners"
Venture Round - Garrison Technology,https://www.crunchbase.com/funding_round/garrison-technology-series-unknown--557182e0,Garrison Technology,https://www.crunchbase.com/organization/garrison-technology,Venture - Series Unknown,,,,2018-01-25,Upscale
Initial Coin Offering - Tezos,https://www.crunchbase.com/funding_round/tezos-initial-coin-offering--943d13a9,Tezos,https://www.crunchbase.com/organization/tezos,Initial Coin Offering,232000000,USD,232000000,2017-07-13,"Alexis Berthoud, Andreas Schwartz, Boost VC, Cypher Capital, Dalma Capital, James Sowers, Limitless Crypto Investments, Zachary Cefaratti"
Venture Round - Darktrace,https://www.crunchbase.com/funding_round/darktrace-series-unknown--60002c40,Darktrace,https://www.crunchbase.com/organization/darktrace,Venture - Series Unknown,,,,2018-03-07,Future Fifty
Venture Round - Biosite Systems,https://www.crunchbase.com/funding_round/biosite-systems-series-unknown--3508a06f,Biosite Systems,https://www.crunchbase.com/organization/biosite-systems,Venture - Series Unknown,,,,2018-03-07,Future Fifty
Venture Round - Semafone,https://www.crunchbase.com/funding_round/semafone-series-unknown--6eb7d9b0,Semafone,https://www.crunchbase.com/organization/semafone,Venture - Series Unknown,,,,2018-03-07,Future Fifty
Venture Round - Egress Software Technologies,https://www.crunchbase.com/funding_round/egress-software-technologies-series-unknown--5fa4792d,Egress Software Technologies,https://www.crunchbase.com/organization/egress-software-technologies,Venture - Series Unknown,,,,2018-03-07,Future Fifty
Series B - BitGo,https://www.crunchbase.com/funding_round/bitgo-series-b--2cdd25e7,BitGo,https://www.crunchbase.com/organization/bitgo,Series B,57500000,USD,57500000,2017-12-11,"Bill Lee, Craft Ventures, David Sacks, Digital Currency Group, DRW, Galaxy Digital LP, Goldman Sachs Principal Strategic Investments, Redpoint, Valor Equity Partners"
Pre Seed Round - PolyPort,https://www.crunchbase.com/funding_round/polyport-2c90-pre-seed--8eb4e2c0,PolyPort,https://www.crunchbase.com/organization/polyport-2c90,Pre-Seed,1200000,USD,1200000,2018-05-01,"Seraph Group, Texas Halo Fund"
Grant - IMPLASER99,https://www.crunchbase.com/funding_round/implaser99-grant--9574e2bb,IMPLASER99,https://www.crunchbase.com/organization/implaser99,Grant,71429,EUR,85651,2018-05-01,EASME - EU Executive Agency for SMEs
Seed Round - Cybershield,https://www.crunchbase.com/funding_round/cybershield-seed--9a7803aa,Cybershield,https://www.crunchbase.com/organization/cybershield,Seed,,,,2017-12-07,NCSC Cyber Accelerator
Seed Round - RazorSecure,https://www.crunchbase.com/funding_round/razorsecure-seed--9420123e,RazorSecure,https://www.crunchbase.com/organization/razorsecure,Seed,,,,2017-12-07,NCSC Cyber Accelerator
Seed Round - Ioetec.com,https://www.crunchbase.com/funding_round/iotec-com-seed--50c17b8f,Ioetec.com,https://www.crunchbase.com/organization/iotec-com,Seed,,,,2017-12-11,NCSC Cyber Accelerator
Seed Round - ExactTrak,https://www.crunchbase.com/funding_round/exacttrak-seed--480362f6,ExactTrak,https://www.crunchbase.com/organization/exacttrak,Seed,,,,2017-12-11,NCSC Cyber Accelerator
Seed Round - Warden,https://www.crunchbase.com/funding_round/warden-seed--ea5ebb33,Warden,https://www.crunchbase.com/organization/warden,Seed,,,,2017-10-20,NCSC Cyber Accelerator
Seed Round - Intruder,https://www.crunchbase.com/funding_round/intruder-seed--fed58c98,Intruder,https://www.crunchbase.com/organization/intruder,Seed,,,,2017-12-11,NCSC Cyber Accelerator
Seed Round - Secure Code Warrior,https://www.crunchbase.com/funding_round/secure-code-warrior-seed--9cb6a856,Secure Code Warrior,https://www.crunchbase.com/organization/secure-code-warrior,Seed,,,,2017-12-07,NCSC Cyber Accelerator
Venture Round - KIWATCH,https://www.crunchbase.com/funding_round/kiwatch-series-unknown--196eedfe,KIWATCH,https://www.crunchbase.com/organization/kiwatch,Venture - Series Unknown,3000000,EUR,3591021,2018-01-08,"Entrepreneur Venture, Groupe Siparex, Pays de la Loire Participations"
Initial Coin Offering - Mainframe,https://www.crunchbase.com/funding_round/mainframe-2-initial-coin-offering--144de493,Mainframe,https://www.crunchbase.com/organization/mainframe-2,Initial Coin Offering,,,,2018-03-01,Kenetic
Initial Coin Offering - Quantstamp,https://www.crunchbase.com/funding_round/quantstamp-technologies-initial-coin-offering--5ceffce5,Quantstamp,https://www.crunchbase.com/organization/quantstamp-technologies,Initial Coin Offering,,,,2017-10-01,Kenetic
Initial Coin Offering - NuCypher,https://www.crunchbase.com/funding_round/nucypher-initial-coin-offering--d7cfe51b,NuCypher,https://www.crunchbase.com/organization/nucypher,Initial Coin Offering,,,,2017-10-30,Kenetic
Secondary Market - Lookout,https://www.crunchbase.com/funding_round/lookout-secondary-market--4e62441d,Lookout,https://www.crunchbase.com/organization/lookout,Secondary Market,,,,2018-01-01,Kevin Milden
Non Equity Assistance - Keyp,https://www.crunchbase.com/funding_round/keyp-non-equity-assistance--ceb9f748,Keyp,https://www.crunchbase.com/organization/keyp,Non-equity Assistance,,,,2018-03-30,Startup Sesame
Seed Round - PolySign,https://www.crunchbase.com/funding_round/polysign-seed--6114d4a1,PolySign,https://www.crunchbase.com/organization/polysign,Seed,,,,2018-01-30,CRCM Ventures
Seed Round - CYR3CON,https://www.crunchbase.com/funding_round/cyr3con-seed--bf577dcd,CYR3CON,https://www.crunchbase.com/organization/cyr3con,Seed,1500000,USD,1500000,2018-03-30,"Michael Sutton, SaaS Ventures, Scout Ventures, SixThirty CYBER"
Grant - Cypheme,https://www.crunchbase.com/funding_round/cypheme-grant--11afd094,Cypheme,https://www.crunchbase.com/organization/cypheme,Grant,71429,EUR,85651,2018-05-01,EASME - EU Executive Agency for SMEs
Venture Round - Futurae,https://www.crunchbase.com/funding_round/futurae-series-unknown--04a4beaf,Futurae,https://www.crunchbase.com/organization/futurae,Venture - Series Unknown,,,,2018-05-01,Equitypitcher
Venture Round - ThetaRay,https://www.crunchbase.com/funding_round/thetaray-series-unknown--b73be2a7,ThetaRay,https://www.crunchbase.com/organization/thetaray,Venture - Series Unknown,6000000,USD,6000000,2018-02-23,FortRoss Ventures
Series B - Secucloud GmbH,https://www.crunchbase.com/funding_round/secucloud-series-b--cc125901,Secucloud GmbH,https://www.crunchbase.com/organization/secucloud,Series B,,,,2017-10-01,Sonae IM
Seed Round - Olympus Sky Technologies,https://www.crunchbase.com/funding_round/olympus-sky-seed--17052954,Olympus Sky Technologies,https://www.crunchbase.com/organization/olympus-sky,Seed,1000000,PLN,287522,2018-01-01,Akcelerator Technologiczny Gliwice Sp. z o.o.
Seed Round - Tenzir,https://www.crunchbase.com/funding_round/tenzir-seed--73373c5a,Tenzir,https://www.crunchbase.com/organization/tenzir,Seed,,,,2018-01-01,IFB Innovationsstarter GmbH
