Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Investor Names
Series A - Pryon,https://www.crunchbase.com/funding_round/pryon-series-a--4adb4415,Pryon,https://www.crunchbase.com/organization/pryon,Series A,20000000,USD,20000000,2019-06-11,"BootstrapLabs, Breyer Capital, Digital Alpha Advisors, Engage Ventures, Good Growth Capital, Greycroft, Plug and Play, Rise of the Rest, Stanford University Venture Fund, Two Sigma Ventures"
Series D - TrustArc,https://www.crunchbase.com/funding_round/truste-series-d--2ef4145f,TrustArc,https://www.crunchbase.com/organization/truste,Series D,70000000,USD,70000000,2019-07-10,"Accel, Baseline Ventures, Bregal Sagemount, DAG Ventures, Icon Ventures, Industry Ventures"
Series A - InCountry,https://www.crunchbase.com/funding_round/incountry-series-a--acb7c9a2,InCountry,https://www.crunchbase.com/organization/incountry,Series A,15000000,USD,15000000,2019-07-18,"Arbor Ventures, Caffeinated Capital, CRV, Felicis Ventures, Global Founders Capital, Mubadala Investment Company, Team Builder Ventures"
Series C - TrapX Security,https://www.crunchbase.com/funding_round/trapx-security-series-c--37b7334f,TrapX Security,https://www.crunchbase.com/organization/trapx-security,Series C,18000000,USD,18000000,2019-07-01,"BRM Capital, Ibex Investors, Intel Capital, Liberty Technology Venture Capital, Opus Capital, Strategic Cyber Ventures"
Series B - GreatHorn,https://www.crunchbase.com/funding_round/greathorn-series-b--de52d16a,GreatHorn,https://www.crunchbase.com/organization/greathorn,Series B,13000000,USD,13000000,2019-06-26,".406 Ventures, RRE Ventures, Techstars Ventures, Uncork Capital, v1.vc"
Seed Round - Nebulous (Sia & Obelisk),https://www.crunchbase.com/funding_round/nebulous-llc-seed--d0c2f2c9,Nebulous (Sia & Obelisk),https://www.crunchbase.com/organization/nebulous-llc,Seed,3500000,USD,3500000,2019-07-10,"A.Capital Ventures, Bain Capital Ventures, Bessemer Venture Partners, Collaborative Fund, Dragonfly Capital Partners, Hack VC, INBlockchain, SV Angel"
Seed Round - Ermes Cyber Security,https://www.crunchbase.com/funding_round/ermes-cyber-security-seed--05957deb,Ermes Cyber Security,https://www.crunchbase.com/organization/ermes-cyber-security,Seed,600000,EUR,672899,2019-07-08,"Angelo Italiano, Invitalia"
Series A - OneTrust,https://www.crunchbase.com/funding_round/onetrust-series-a--f76acf75,OneTrust,https://www.crunchbase.com/organization/onetrust,Series A,200000000,USD,200000000,2019-07-11,Insight Partners
Series A - DUST Identity,https://www.crunchbase.com/funding_round/dust-identity-series-a--376176bf,DUST Identity,https://www.crunchbase.com/organization/dust-identity,Series A,10000000,USD,10000000,2019-07-17,"Airbus Ventures, Angular Ventures, Castle Island Ventures, Kleiner Perkins, Lockheed Martin Ventures, New Science Ventures"
Series E - Vectra AI,https://www.crunchbase.com/funding_round/vectra-networks-series-e--f763f838,Vectra AI,https://www.crunchbase.com/organization/vectra-networks,Series E,100000000,USD,100000000,2019-06-10,"Accel, Khosla Ventures, TCV"
