Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Investor Names
Series C - TrapX Security,https://www.crunchbase.com/funding_round/trapx-security-series-c--37b7334f,TrapX Security,https://www.crunchbase.com/organization/trapx-security,Series C,18000000,USD,18000000,2019-07-01,"BRM Capital, Ibex Investors, Intel Capital, Liberty Technology Venture Capital, Opus Capital, Strategic Cyber Ventures"
Seed Round - Orca Security,https://www.crunchbase.com/funding_round/orca-security-seed--6eedc9c9,Orca Security,https://www.crunchbase.com/organization/orca-security,Seed,6500000,USD,6500000,2019-06-12,YL Ventures
Series C - Expel,https://www.crunchbase.com/funding_round/expel-series-c--a44f28b4,Expel,https://www.crunchbase.com/organization/expel,Series C,40000000,USD,40000000,2019-06-18,"Battery Ventures, Greycroft, Index Ventures, New Enterprise Associates, Paladin Capital Group, Scale Venture Partners"
Series B - BitTitan,https://www.crunchbase.com/funding_round/bittitan-2-series-b--1d71d3b7,BitTitan,https://www.crunchbase.com/organization/bittitan-2,Series B,,,,2019-07-17,Vistara Capital Partners
Series A - Liongard,https://www.crunchbase.com/funding_round/liongard-series-a--11b33327,Liongard,https://www.crunchbase.com/organization/liongard,Series A,4500000,USD,4500000,2019-05-31,"Gestalt Theory Venture Partners, Richard Yoo, TDF Ventures, ‎Integr8d Capital"
Seed Round - Zeepson Technology,https://www.crunchbase.com/funding_round/zeepson-technology-seed--299dce48,Zeepson Technology,https://www.crunchbase.com/organization/zeepson-technology,Seed,100000000,CNY,14488763,2019-05-30,"Guorong Capital, LeBox Capital, Tencent Holdings"
Debt Financing - Vector Security,https://www.crunchbase.com/funding_round/vector-security-debt-financing--33704ca9,Vector Security,https://www.crunchbase.com/organization/vector-security,Debt Financing,450000000,USD,450000000,2019-06-11,"PNC Bank, PNC Capital Markets"
Series C - GuardiCore,https://www.crunchbase.com/funding_round/guardicore-series-c--7536274e,GuardiCore,https://www.crunchbase.com/organization/guardicore,Series C,60000000,USD,60000000,2019-05-20,"83North, Battery Ventures, ClalTech, Deutsche Telekom Capital Partners, Greenfield Partners, Partech, Qumra Capital, TPG Growth"
Series D - Bitglass,https://www.crunchbase.com/funding_round/bitglass-series-d--f0423322,Bitglass,https://www.crunchbase.com/organization/bitglass,Series D,70000000,USD,70000000,2019-04-08,"Future Fund, New Enterprise Associates, Norwest Venture Partners, Quadrille Capital, Singtel Innov8"
Series C - Aqua Security,https://www.crunchbase.com/funding_round/aquasecurity-series-c--f98e4c9e,Aqua Security,https://www.crunchbase.com/organization/aquasecurity,Series C,62000000,USD,62000000,2019-04-03,"Insight Partners, Lightspeed Venture Partners, M12, Shlomo Kramer, TLV Partners"
