Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Investor Names
Series D - TrustArc,https://www.crunchbase.com/funding_round/truste-series-d--2ef4145f,TrustArc,https://www.crunchbase.com/organization/truste,Series D,70000000,USD,70000000,2019-07-10,"Accel, Baseline Ventures, Bregal Sagemount, DAG Ventures, Icon Ventures, Industry Ventures"
Series A - InCountry,https://www.crunchbase.com/funding_round/incountry-series-a--acb7c9a2,InCountry,https://www.crunchbase.com/organization/incountry,Series A,15000000,USD,15000000,2019-07-18,"Arbor Ventures, Caffeinated Capital, CRV, Felicis Ventures, Global Founders Capital, Mubadala Investment Company, Team Builder Ventures"
Series A - OneTrust,https://www.crunchbase.com/funding_round/onetrust-series-a--f76acf75,OneTrust,https://www.crunchbase.com/organization/onetrust,Series A,200000000,USD,200000000,2019-07-11,Insight Partners
Series G - Druva,https://www.crunchbase.com/funding_round/druva-software-series-g--167bba9f,Druva,https://www.crunchbase.com/organization/druva-software,Series G,130000000,USD,130000000,2019-06-19,"Atreides Capital, Neuberger Berman Group, Nexus Venture Partners, Riverwood Capital, Tenaya Capital, Viking Global Investors"
Seed Round - Securicy,https://www.crunchbase.com/funding_round/securicy-seed--f144765e,Securicy,https://www.crunchbase.com/organization/securicy,Seed,1200000,USD,1200000,2019-07-09,"Concrete Ventures, Hub Angels Investment Group, Innovacorp, Panache Ventures"
Series A - Text IQ,https://www.crunchbase.com/funding_round/text-iq-series-a--dddead74,Text IQ,https://www.crunchbase.com/organization/text-iq,Series A,12600000,USD,12600000,2019-06-18,"FirstMark, Sierra Ventures"
Seed Round - VComply,https://www.crunchbase.com/funding_round/vcomply-seed--61ec7928,VComply,https://www.crunchbase.com/organization/vcomply,Seed,2500000,USD,2500000,2019-07-19,Accel
Series A - DefenseStorm,https://www.crunchbase.com/funding_round/praesidio-inc--series-a--2768f1bc,DefenseStorm,https://www.crunchbase.com/organization/praesidio-inc-,Series A,15000000,USD,15000000,2019-07-15,Georgian Partners
Angel Round - WizCounsel,https://www.crunchbase.com/funding_round/wizcounsel-angel--35cdd0f5,WizCounsel,https://www.crunchbase.com/organization/wizcounsel,Angel,10000000,INR,145031,2019-06-28,"Kapil Dev, Manas Fuloria, Sunil Kumar Gupta"
Debt Financing - Securicy,https://www.crunchbase.com/funding_round/securicy-debt-financing--df095787,Securicy,https://www.crunchbase.com/organization/securicy,Debt Financing,600000,USD,600000,2019-07-09,
Seed Round - InCountry,https://www.crunchbase.com/funding_round/incountry-seed--64cc1210,InCountry,https://www.crunchbase.com/organization/incountry,Seed,7000000,USD,7000000,2019-05-03,"Bloomberg Beta, Caffeinated Capital, CRV, Felicis Ventures, Global Founders Capital, MState, Natalie Diggins, Parade Ventures, Ridge Ventures (Formerly known as IDG Ventures USA)"
Series A - QEDIT,https://www.crunchbase.com/funding_round/qed-it-series-a--96d2b701,QEDIT,https://www.crunchbase.com/organization/qed-it,Series A,10000000,USD,10000000,2019-05-07,"Ant Financial, Collier Investments, Jovono, Meron Capital, MizMaa Ventures, RGAx, Target Global, VMware"
Seed Round - Nivaura,https://www.crunchbase.com/funding_round/nivaura-seed--b913fd22,Nivaura,https://www.crunchbase.com/organization/nivaura,Seed,20000000,USD,20000000,2019-02-27,"Digital Currency Group, HSBC, London Stock Exchange Group, Middlegame Ventures, Santander InnoVentures, Spencer Lake, Transamerica Ventures"
Seed Round - Vault Platform,https://www.crunchbase.com/funding_round/vault-platform-seed--c78f88ad,Vault Platform,https://www.crunchbase.com/organization/vault-platform,Seed,4200000,USD,4200000,2019-04-29,"Angular Ventures, Jane VC, Kindred Capital, Mike Chalfen, SAATCHiNVEST, System.One"
Series C - Aqua Security,https://www.crunchbase.com/funding_round/aquasecurity-series-c--f98e4c9e,Aqua Security,https://www.crunchbase.com/organization/aquasecurity,Series C,62000000,USD,62000000,2019-04-03,"Insight Partners, Lightspeed Venture Partners, M12, Shlomo Kramer, TLV Partners"
Seed Round - Transcend,https://www.crunchbase.com/funding_round/transcend-seed--e25661fb,Transcend,https://www.crunchbase.com/organization/transcend,Seed,3950000,USD,3950000,2019-04-04,"122WEST VENTURES, Accel, South Park Commons"
Series B - GO1,https://www.crunchbase.com/funding_round/go1-series-b--a4ec5623,GO1,https://www.crunchbase.com/organization/go1,Series B,30000000,USD,30000000,2019-03-18,"Larsen Ventures, M12, SEEK Ltd., Y Combinator"
Series B - DivvyCloud,https://www.crunchbase.com/funding_round/divvycloud-series-b--071b76c7,DivvyCloud,https://www.crunchbase.com/organization/divvycloud,Series B,20000000,USD,20000000,2019-04-26,"MissionOG, Providence Strategic Growth, RTP Ventures"
Series A - Tookitaki,https://www.crunchbase.com/funding_round/tookitaki-series-a--05bc559a,Tookitaki,https://www.crunchbase.com/organization/tookitaki,Series A,7500000,USD,7500000,2019-03-17,"Enterprise Singapore, Illuminate Financial, Jungle Ventures, Supply Chain Angels, VWX Capital"
Series E - ClearDATA,https://www.crunchbase.com/funding_round/cleardata-series-e--e1d9f576,ClearDATA,https://www.crunchbase.com/organization/cleardata,Series E,26000000,USD,26000000,2018-11-19,"Excel Venture Management, Flare Capital Partners, Health Care Service Corporation, Heritage Group, HLM Venture Partners, Humana, Merck Global Health Innovation Fund, Norwest Venture Partners"
Series A - Authenteq,https://www.crunchbase.com/funding_round/authenteq-series-a--37f9cddf,Authenteq,https://www.crunchbase.com/organization/authenteq,Series A,5000000,USD,5000000,2019-01-14,"capital300, Draper Associates"
Series B - Deputy,https://www.crunchbase.com/funding_round/deputy-series-b--ccd6ffae,Deputy,https://www.crunchbase.com/organization/deputy,Series B,111000000,AUD,81033254,2018-11-28,"Equity Venture Partners, IVP (Institutional Venture Partners), OpenView Venture Partners, Square Peg Capital"
Series A - ICW,https://www.crunchbase.com/funding_round/ic-workshop-series-a--5e04db0e,ICW,https://www.crunchbase.com/organization/ic-workshop,Series A,2520000,USD,2520000,2019-04-11,"Innovation and Technology Venture Fund, MindWorks Ventures"
Series B - Tigera,https://www.crunchbase.com/funding_round/tigera-series-b--50938efd,Tigera,https://www.crunchbase.com/organization/tigera,Series B,30000000,USD,30000000,2018-12-12,"Insight Partners, Madrona Venture Group, New Enterprise Associates, Wing"
Series A - Cognigo,https://www.crunchbase.com/funding_round/cognigo-series-a--92e8d875,Cognigo,https://www.crunchbase.com/organization/cognigo,Series A,8500000,USD,8500000,2018-11-13,"Mitvah Shamir, OurCrowd, Prosegur, State of Mind Ventures"
Seed Round - Theta Lake,https://www.crunchbase.com/funding_round/theta-lake-seed--46e38b67,Theta Lake,https://www.crunchbase.com/organization/theta-lake,Seed,5000000,USD,5000000,2019-01-16,"Firebolt Ventures, NeoTribe Ventures, WestWave Capital"
Seed Round - Pairity,https://www.crunchbase.com/funding_round/pairity-seed--9fa600f3,Pairity,https://www.crunchbase.com/organization/pairity,Seed,,,,2018-07-16,"Core Innovation Capital, Mucker Capital"
Series C - Enigma Technologies,https://www.crunchbase.com/funding_round/enigma-technologies-series-c--0428d82c,Enigma Technologies,https://www.crunchbase.com/organization/enigma-technologies,Series C,95000000,USD,95000000,2018-09-18,"BB&T, Capital One Growth Ventures, Comcast Ventures, Crosslink Capital, Glynn Capital Management, MetLife, New Enterprise Associates, Third Point Ventures, Two Sigma Ventures"
Series A - Beam,https://www.crunchbase.com/funding_round/beamsolutions-series-a--92793e5f,Beam,https://www.crunchbase.com/organization/beamsolutions,Series A,5000000,USD,5000000,2018-11-01,"Greycroft, Plug and Play"
Venture Round - Coinfirm,https://www.crunchbase.com/funding_round/coinfirm-series-unknown--959a86f4,Coinfirm,https://www.crunchbase.com/organization/coinfirm,Venture - Series Unknown,,,,2018-09-06,Tech Nation Fintech
Venture Round - Quantexa,https://www.crunchbase.com/funding_round/quantexa-series-unknown--bc27795b,Quantexa,https://www.crunchbase.com/organization/quantexa,Venture - Series Unknown,,,,2019-03-27,Future Fifty
Venture Round - Enforcd,https://www.crunchbase.com/funding_round/enforcd-series-unknown--1be98890,Enforcd,https://www.crunchbase.com/organization/enforcd,Venture - Series Unknown,,,,2018-09-06,Tech Nation Fintech
Series A - Very Good Security,https://www.crunchbase.com/funding_round/very-good-security-series-a--520f1b54,Very Good Security,https://www.crunchbase.com/organization/very-good-security,Series A,8500000,USD,8500000,2018-08-28,"Andreessen Horowitz, Eric Glyman, Karim Atiyeh, Max Levchin, Nyca Partners, Slow Ventures, Vertex Ventures"
Series B - GAN Integrity,https://www.crunchbase.com/funding_round/gan-integrity-inc-series-b--71e1d3ce,GAN Integrity,https://www.crunchbase.com/organization/gan-integrity-inc,Series B,15000000,USD,15000000,2019-01-09,"Aquiline Technology Growth, Edison Partners"
Series A - WireWheel.io,https://www.crunchbase.com/funding_round/wirewheel-io-series-a--33d7a862,WireWheel.io,https://www.crunchbase.com/organization/wirewheel-io,Series A,10000000,USD,10000000,2018-10-25,"Grotech Ventures, New Enterprise Associates, PSP Growth, Rise of the Rest, SaaS Ventures, Sands Capital Ventures"
Debt Financing - Beam,https://www.crunchbase.com/funding_round/beamsolutions-debt-financing--6dc2debf,Beam,https://www.crunchbase.com/organization/beamsolutions,Debt Financing,2000000,USD,2000000,2019-02-28,Silicon Valley Bank
Venture Round - Nova Leah,https://www.crunchbase.com/funding_round/nova-leah-series-unknown--02528460,Nova Leah,https://www.crunchbase.com/organization/nova-leah,Venture - Series Unknown,2250000,EUR,2557800,2018-11-08,"Enterprise Ireland, Kernel Capital, Suir Valley Venture"
