Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Investor Names
Series C - TrapX Security,https://www.crunchbase.com/funding_round/trapx-security-series-c--37b7334f,TrapX Security,https://www.crunchbase.com/organization/trapx-security,Series C,18000000,USD,18000000,2019-07-01,"BRM Capital, Ibex Investors, Intel Capital, Liberty Technology Venture Capital, Opus Capital, Strategic Cyber Ventures"
Series B - GreatHorn,https://www.crunchbase.com/funding_round/greathorn-series-b--de52d16a,GreatHorn,https://www.crunchbase.com/organization/greathorn,Series B,13000000,USD,13000000,2019-06-26,".406 Ventures, RRE Ventures, Techstars Ventures, Uncork Capital, v1.vc"
Series A - DUST Identity,https://www.crunchbase.com/funding_round/dust-identity-series-a--376176bf,DUST Identity,https://www.crunchbase.com/organization/dust-identity,Series A,10000000,USD,10000000,2019-07-17,"Airbus Ventures, Angular Ventures, Castle Island Ventures, Kleiner Perkins, Lockheed Martin Ventures, New Science Ventures"
Series E - Vectra AI,https://www.crunchbase.com/funding_round/vectra-networks-series-e--f763f838,Vectra AI,https://www.crunchbase.com/organization/vectra-networks,Series E,100000000,USD,100000000,2019-06-10,"Accel, Khosla Ventures, TCV"
Seed Round - Ockam,https://www.crunchbase.com/funding_round/ockam-seed--76125427,Ockam,https://www.crunchbase.com/organization/ockam,Seed,3200000,USD,3200000,2019-06-20,"Core Ventures Group, Future Ventures, Okta Ventures, SGH CAPITAL"
Series B - NowSecure,https://www.crunchbase.com/funding_round/nowsecure-series-b--c7466b3b,NowSecure,https://www.crunchbase.com/organization/nowsecure,Series B,15000000,USD,15000000,2019-06-28,"Baird Capital, ForgePoint Capital, Jump Capital, MATH Venture Partners"
Seed Round - Polyrize,https://www.crunchbase.com/funding_round/polyrize-seed--00907425,Polyrize,https://www.crunchbase.com/organization/polyrize,Seed,4000000,USD,4000000,2019-07-02,"Glilot Capital Partners, Saban Ventures"
Series A - Fireblocks,https://www.crunchbase.com/funding_round/fireblocks-series-a--de0c2800,Fireblocks,https://www.crunchbase.com/organization/fireblocks,Series A,16000000,USD,16000000,2019-06-11,"CyberStarts, Eight Roads Ventures, MState, Tenaya Capital"
Series C - Digital Shadows,https://www.crunchbase.com/funding_round/digital-shadows-series-c--4a1fb17c,Digital Shadows,https://www.crunchbase.com/organization/digital-shadows,Series C,10000000,USD,10000000,2019-07-09,"National Australia Bank, Octopus Ventures, Passion Capital, Storm Ventures, TenEleven Ventures, Trinity Ventures"
Seed Round - Fyde,https://www.crunchbase.com/funding_round/fyde-seed--fcc94bf4,Fyde,https://www.crunchbase.com/organization/fyde,Seed,2000000,EUR,2249959,2019-07-11,"Bright Pixel, DNX Ventures, Portugal Ventures, Vertex Ventures, Wells Fargo"
Seed Round - Clearedin,https://www.crunchbase.com/funding_round/clearedin-seed--2ad15813,Clearedin,https://www.crunchbase.com/organization/clearedin,Seed,4750000,USD,4750000,2019-06-27,"Ajay Mishra, Bonfire Ventures, Dave Kellogg, MS&AD Ventures, Warren Adelman"
Series C - Expel,https://www.crunchbase.com/funding_round/expel-series-c--a44f28b4,Expel,https://www.crunchbase.com/organization/expel,Series C,40000000,USD,40000000,2019-06-18,"Battery Ventures, Greycroft, Index Ventures, New Enterprise Associates, Paladin Capital Group, Scale Venture Partners"
Series E - Exabeam,https://www.crunchbase.com/funding_round/exabeam-series-e--4c800259,Exabeam,https://www.crunchbase.com/organization/exabeam,Series E,75000000,USD,75000000,2019-05-07,"Aspect Ventures, Cisco Investments, Icon Ventures, Lightspeed Venture Partners, Norwest Venture Partners, Sapphire Ventures, Shlomo Kramer"
Series B - Privitar,https://www.crunchbase.com/funding_round/privitar-series-b--07d338ed,Privitar,https://www.crunchbase.com/organization/privitar,Series B,40000000,USD,40000000,2019-06-10,"24 Haymarket, Accel, IQ Capital, Partech, Salesforce Ventures"
Series D - Menlo Security,https://www.crunchbase.com/funding_round/menlo-security-series-d--1eedeb3e,Menlo Security,https://www.crunchbase.com/organization/menlo-security,Series D,75000000,USD,75000000,2019-07-09,"American Express Ventures, Engineering Capital, General Catalyst, HSBC, J.P. Morgan Asset Management, OUP (Osage University Partners), Sutter Hill Ventures"
