Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Investor Names
Series C - Tickled Media,https://www.crunchbase.com/funding_round/tickled-media-pte-ltd-series-c--9eaf52e9,Tickled Media,https://www.crunchbase.com/organization/tickled-media-pte-ltd,Series C,,,,2019-07-12,"ATM Capital, Fosun RZ Capital, Global Grand Leisure, JD.com, Redbadge Pacific, WPG Holdings"
Seed Round - Blaize,https://www.crunchbase.com/funding_round/blaize-seed--6b34150a,Blaize,https://www.crunchbase.com/organization/blaize,Seed,2500000,GBP,3145674,2019-07-03,Nauta Capital
Seed Round - Berbix,https://www.crunchbase.com/funding_round/berbix-seed--a51eb4d2,Berbix,https://www.crunchbase.com/organization/berbix,Seed,2500000,USD,2500000,2019-07-17,"Dream Machine, Fika Ventures, Initialized Capital, Liquid 2 Ventures, Y Combinator"
Series D - Dashlane,https://www.crunchbase.com/funding_round/dashlane-series-d--82933e14,Dashlane,https://www.crunchbase.com/organization/dashlane,Series D,110000000,USD,110000000,2019-05-30,"Bessemer Venture Partners, FirstMark, Rho Ventures, Sequoia Capital"
Seed Round - Identiq,https://www.crunchbase.com/funding_round/identiq-seed--1483b500,Identiq,https://www.crunchbase.com/organization/identiq,Seed,5000000,USD,5000000,2019-05-28,"Entrée Capital, Oryzn Capital, Slow Ventures, Vertex Ventures Israel"
Series A - Liveoak Technologies,https://www.crunchbase.com/funding_round/liveoak-technologies-series-a--3df4664b,Liveoak Technologies,https://www.crunchbase.com/organization/liveoak-technologies,Series A,8000000,USD,8000000,2019-06-04,"Broadhaven Capital Partners, Northwestern Mutual Future Ventures, S3 Ventures, Seven Peaks Ventures, State Farm Ventures, Wild Basin Investments"
Seed Round - Pico,https://www.crunchbase.com/funding_round/try-pico-seed--5dbf24ee,Pico,https://www.crunchbase.com/organization/try-pico,Seed,4500000,USD,4500000,2019-05-29,"Axel Springer Digital Ventures, Bloomberg Beta, Precursor Ventures, Stripe, Village Global"
Series E - Auth0,https://www.crunchbase.com/funding_round/auth0-series-e--8a47c513,Auth0,https://www.crunchbase.com/organization/auth0,Series E,103000000,USD,103000000,2019-05-20,"Bessemer Venture Partners, K9 Ventures, Meritech Capital Partners, Sapphire Ventures, Telstra Ventures, Trinity Ventures, World Innovation Lab (WiL)"
Seed Round - TypingDNA,https://www.crunchbase.com/funding_round/typingdna-seed--5de69f2f,TypingDNA,https://www.crunchbase.com/organization/typingdna,Seed,1500000,USD,1500000,2019-01-31,"Gapminder VC, Gecad Ventures, Geoff Judge, Liz Wessel, Malin-Iulian Stefanescu, Mark Rosenblatt, Natalie Diggins, Olivier Pomel, Praveen Paranjothi, Techstars, Vlad Ionescu"
Series C - Onfido,https://www.crunchbase.com/funding_round/onfido-series-c--f2c8300c,Onfido,https://www.crunchbase.com/organization/onfido,Series C,50000000,USD,50000000,2019-04-03,"Augmentum Fintech, Fin Venture Capital, Kairos, M12, Plug and Play, Salesforce Ventures, SBI Investment, SoftBank"
Series D - Hireology,https://www.crunchbase.com/funding_round/hireology-series-d--86d348c9,Hireology,https://www.crunchbase.com/organization/hireology,Series D,27000000,USD,27000000,2019-04-15,"Bain Capital Ventures, Baird Capital, Blue Cloud Ventures, Silicon Valley Bank"
Series A - Cambridge Blockchain,https://www.crunchbase.com/funding_round/cambridge-blockchain-series-a--a84cc985,Cambridge Blockchain,https://www.crunchbase.com/organization/cambridge-blockchain,Series A,3500000,USD,3500000,2019-04-02,"Flourish Venture, Future Perfect Ventures, Omidyar Network, PayPal"
Series C - Socure,https://www.crunchbase.com/funding_round/socure-series-c--aa5d421f,Socure,https://www.crunchbase.com/organization/socure,Series C,30000000,USD,30000000,2019-02-28,"Commerce Ventures, Flint Capital, Santander InnoVentures, Scale Venture Partners, Sorenson Capital, Synchrony Financial, Two Sigma Ventures"
Series G - Payfone,https://www.crunchbase.com/funding_round/payfone-series-g--b5ba0dc8,Payfone,https://www.crunchbase.com/organization/payfone,Series G,24000000,USD,24000000,2019-04-17,"MassMutual Ventures, Synchrony Financial, TransUnion, Wellington Management"
Series B - Evident,https://www.crunchbase.com/funding_round/evident-id-series-b--cafa24fa,Evident,https://www.crunchbase.com/organization/evident-id,Series B,20000000,USD,20000000,2019-05-09,"Aspect Ventures, Blue Cloud Ventures, New Enterprise Associates, Tom Noonan"
Series D - OneLogin,https://www.crunchbase.com/funding_round/onelogin-series-d--46a29431,OneLogin,https://www.crunchbase.com/organization/onelogin,Series D,100000000,USD,100000000,2019-01-10,"CRV, Greenspring Associates, Scale Venture Partners, Silver Lake Waterman"
Series A - Proxy,https://www.crunchbase.com/funding_round/martians-series-a--8ea5e3cc,Proxy,https://www.crunchbase.com/organization/martians,Series A,13600000,USD,13600000,2019-03-27,"Coatue Management, Kleiner Perkins, WeWork Creator Fund, Y Combinator"
