Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Investor Names
Series C - TrapX Security,https://www.crunchbase.com/funding_round/trapx-security-series-c--37b7334f,TrapX Security,https://www.crunchbase.com/organization/trapx-security,Series C,18000000,USD,18000000,2019-07-01,"BRM Capital, Ibex Investors, Intel Capital, Liberty Technology Venture Capital, Opus Capital, Strategic Cyber Ventures"
Seed Round - Ermes Cyber Security,https://www.crunchbase.com/funding_round/ermes-cyber-security-seed--05957deb,Ermes Cyber Security,https://www.crunchbase.com/organization/ermes-cyber-security,Seed,600000,EUR,672899,2019-07-08,"Angelo Italiano, Invitalia"
Series E - Vectra AI,https://www.crunchbase.com/funding_round/vectra-networks-series-e--f763f838,Vectra AI,https://www.crunchbase.com/organization/vectra-networks,Series E,100000000,USD,100000000,2019-06-10,"Accel, Khosla Ventures, TCV"
Seed Round - Fyde,https://www.crunchbase.com/funding_round/fyde-seed--fcc94bf4,Fyde,https://www.crunchbase.com/organization/fyde,Seed,2000000,EUR,2249959,2019-07-11,"Bright Pixel, DNX Ventures, Portugal Ventures, Vertex Ventures, Wells Fargo"
Series D - KnowBe4,https://www.crunchbase.com/funding_round/knowbe4-llc-series-d--4edd397c,KnowBe4,https://www.crunchbase.com/organization/knowbe4-llc,Series D,300000000,USD,300000000,2019-06-12,"Elephant, Kohlberg Kravis Roberts, TenEleven Ventures"
Series B - CloudMinds,https://www.crunchbase.com/funding_round/cloudminds-series-b--166cffe7,CloudMinds,https://www.crunchbase.com/organization/cloudminds,Series B,186000000,USD,186000000,2019-02-23,
Series C - BigID,https://www.crunchbase.com/funding_round/bigid-series-c--90d550f5,BigID,https://www.crunchbase.com/organization/bigid,Series C,50000013,USD,50000013,2019-07-15,
Series C - Expel,https://www.crunchbase.com/funding_round/expel-series-c--a44f28b4,Expel,https://www.crunchbase.com/organization/expel,Series C,40000000,USD,40000000,2019-06-18,"Battery Ventures, Greycroft, Index Ventures, New Enterprise Associates, Paladin Capital Group, Scale Venture Partners"
Series D - Menlo Security,https://www.crunchbase.com/funding_round/menlo-security-series-d--1eedeb3e,Menlo Security,https://www.crunchbase.com/organization/menlo-security,Series D,75000000,USD,75000000,2019-07-09,"American Express Ventures, Engineering Capital, General Catalyst, HSBC, J.P. Morgan Asset Management, OUP (Osage University Partners), Sutter Hill Ventures"
Series A - Edgewise Networks,https://www.crunchbase.com/funding_round/edgewise-networks-series-a--6ef85d35,Edgewise Networks,https://www.crunchbase.com/organization/edgewise-networks,Series A,11000000,USD,11000000,2019-06-11,".406 Ventures, Accomplice, Pillar Ventures"
Private Equity Round - Critical Start,https://www.crunchbase.com/funding_round/critical-start-private-equity--b5ec90fa,Critical Start,https://www.crunchbase.com/organization/critical-start,Private Equity,40000000,USD,40000000,2019-06-12,Bregal Sagemount
Series D - SentinelOne,https://www.crunchbase.com/funding_round/sentinel-series-d--bf139ad0,SentinelOne,https://www.crunchbase.com/organization/sentinel,Series D,120000000,USD,120000000,2019-06-05,"Data Collective DCVC, Granite Hill Capital Partners, Insight Partners, NextEquity Partners, Redpoint, Samsung Venture Investment, SineWave Ventures, Sound Ventures, Third Point Ventures, Tiger Global Management"
Pre Seed Round - Alias Robotics,https://www.crunchbase.com/funding_round/alias-robotics-pre-seed--3045cb7d,Alias Robotics,https://www.crunchbase.com/organization/alias-robotics,Pre-Seed,750000,EUR,841762,2019-06-17,Baron Capital Management
Series A - TrueFort,https://www.crunchbase.com/funding_round/truefort-series-a--023f9fad,TrueFort,https://www.crunchbase.com/organization/truefort,Series A,13700000,USD,13700000,2019-06-20,"Emerald Development Managers, Evolution Equity Partners, Great Road Holdings, Lytical Ventures"
Venture Round - CyberOwl,https://www.crunchbase.com/funding_round/cyberowl-series-unknown--3d8eed24,CyberOwl,https://www.crunchbase.com/organization/cyberowl,Venture - Series Unknown,1000000,GBP,1274201,2019-06-21,"24 Haymarket, MEIF Proof-of-Concept & Early Stage Fund, Mercia Technologies"
