Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Investor Names
Series D - TrustArc,https://www.crunchbase.com/funding_round/truste-series-d--2ef4145f,TrustArc,https://www.crunchbase.com/organization/truste,Series D,70000000,USD,70000000,2019-07-10,"Accel, Baseline Ventures, Bregal Sagemount, DAG Ventures, Icon Ventures, Industry Ventures"
Series A - OneTrust,https://www.crunchbase.com/funding_round/onetrust-series-a--f76acf75,OneTrust,https://www.crunchbase.com/organization/onetrust,Series A,200000000,USD,200000000,2019-07-11,Insight Partners
Series C - GoTenna,https://www.crunchbase.com/funding_round/gotenna-series-c--9af717a0,GoTenna,https://www.crunchbase.com/organization/gotenna,Series C,24000000,USD,24000000,2019-06-18,"Bloomberg Beta, Collaborative Fund, Comcast Ventures, Founders Fund, MentorTech Ventures, Union Square Ventures, Walden Venture Capital"
Series B - Privitar,https://www.crunchbase.com/funding_round/privitar-series-b--07d338ed,Privitar,https://www.crunchbase.com/organization/privitar,Series B,40000000,USD,40000000,2019-06-10,"24 Haymarket, Accel, IQ Capital, Partech, Salesforce Ventures"
Series D - Dashlane,https://www.crunchbase.com/funding_round/dashlane-series-d--82933e14,Dashlane,https://www.crunchbase.com/organization/dashlane,Series D,110000000,USD,110000000,2019-05-30,"Bessemer Venture Partners, FirstMark, Rho Ventures, Sequoia Capital"
Seed Round - Identiq,https://www.crunchbase.com/funding_round/identiq-seed--1483b500,Identiq,https://www.crunchbase.com/organization/identiq,Seed,5000000,USD,5000000,2019-05-28,"Entrée Capital, Oryzn Capital, Slow Ventures, Vertex Ventures Israel"
Series A - Aptible,https://www.crunchbase.com/funding_round/aptible-series-a--0fd73908,Aptible,https://www.crunchbase.com/organization/aptible,Series A,12000000,USD,12000000,2019-06-18,"Maverick Ventures, Tamarind Hill, Thrive Capital, Western Technology Investment"
Venture Round - Tu Identidad,https://www.crunchbase.com/funding_round/tu-identidad-series-unknown--3688d8e1,Tu Identidad,https://www.crunchbase.com/organization/tu-identidad,Venture - Series Unknown,600000,USD,600000,2019-05-07,"Dark Horse Ventures, Finnovista"
Series A - QEDIT,https://www.crunchbase.com/funding_round/qed-it-series-a--96d2b701,QEDIT,https://www.crunchbase.com/organization/qed-it,Series A,10000000,USD,10000000,2019-05-07,"Ant Financial, Collier Investments, Jovono, Meron Capital, MizMaa Ventures, RGAx, Target Global, VMware"
Seed Round - Transcend,https://www.crunchbase.com/funding_round/transcend-seed--e25661fb,Transcend,https://www.crunchbase.com/organization/transcend,Seed,3950000,USD,3950000,2019-04-04,"122WEST VENTURES, Accel, South Park Commons"
Series F - Nextdoor,https://www.crunchbase.com/funding_round/nextdoor-series-f--28dd522a,Nextdoor,https://www.crunchbase.com/organization/nextdoor,Series F,123000000,USD,123000000,2019-05-14,"Benchmark, Kleiner Perkins, Riverwood Capital, Tiger Global Management"
Venture Round - Private Client Resources,https://www.crunchbase.com/funding_round/private-client-resources-series-unknown--c7b76538,Private Client Resources,https://www.crunchbase.com/organization/private-client-resources,Venture - Series Unknown,,,,2019-06-07,Public Pension Capital (PPC)
Series A - Cambridge Blockchain,https://www.crunchbase.com/funding_round/cambridge-blockchain-series-a--a84cc985,Cambridge Blockchain,https://www.crunchbase.com/organization/cambridge-blockchain,Series A,3500000,USD,3500000,2019-04-02,"Flourish Venture, Future Perfect Ventures, Omidyar Network, PayPal"
Seed Round - CryptoNumerics,https://www.crunchbase.com/funding_round/cryptonumerics-seed--5a7874db,CryptoNumerics,https://www.crunchbase.com/organization/cryptonumerics,Seed,3300000,CAD,2481029,2019-03-13,"11.2 Capital, Data Capital Management, Lux Capital"
Seed Round - Trace Data,https://www.crunchbase.com/funding_round/trace-data-seed--10e8384b,Trace Data,https://www.crunchbase.com/organization/trace-data,Seed,5000000,USD,5000000,2019-07-01,"Accel, Kleiner Perkins, overtime.vc"
Convertible Note - D-ID,https://www.crunchbase.com/funding_round/d-id-convertible-note--cade6bac,D-ID,https://www.crunchbase.com/organization/d-id,Convertible Note,5300000,USD,5300000,2018-10-25,"Hyundai Motor Company, Maverick Ventures, Mindset Ventures, Omron Corporation, Pegasus Tech Ventures, Pitango Venture Capital, Y Combinator"
Series A - Authenteq,https://www.crunchbase.com/funding_round/authenteq-series-a--37f9cddf,Authenteq,https://www.crunchbase.com/organization/authenteq,Series A,5000000,USD,5000000,2019-01-14,"capital300, Draper Associates"
Seed Round - Statice,https://www.crunchbase.com/funding_round/statice-dec7-seed--e14431bf,Statice,https://www.crunchbase.com/organization/statice-dec7,Seed,,,,2019-04-16,"Capnamic Ventures, WestTech Ventures"
Debt Financing - Dashlane,https://www.crunchbase.com/funding_round/dashlane-debt-financing--795bfe03,Dashlane,https://www.crunchbase.com/organization/dashlane,Debt Financing,30000000,USD,30000000,2019-04-12,"Hercules Capital, Inc."
Funding Round - Statice,https://www.crunchbase.com/funding_round/statice-dec7-undisclosed--3d1c29a7,Statice,https://www.crunchbase.com/organization/statice-dec7,Funding Round,,,,2019-04-02,Data Pitch
Debt Financing - siOPTICA,https://www.crunchbase.com/funding_round/sioptica-debt-financing--adb2a162,siOPTICA,https://www.crunchbase.com/organization/sioptica,Debt Financing,4000000,EUR,4987294,2018-02-14,bm-t beteiligungsmanagement thüringen
Series A - DataGrail,https://www.crunchbase.com/funding_round/datagrail-series-a--9d31fa77,DataGrail,https://www.crunchbase.com/organization/datagrail,Series A,4000000,USD,4000000,2018-09-20,"Bob Spinner, Clarence So, Cloud Apps Capital Partners, Gunderson Dettmer"
Grant - HOPR,https://www.crunchbase.com/funding_round/hopr-grant--300b5974,HOPR,https://www.crunchbase.com/organization/hopr,Grant,15000,USD,15000,2019-04-12,Binance Labs
Seed Round - PacketStream,https://www.crunchbase.com/funding_round/packetstream-a5dd-seed--ee7e9791,PacketStream,https://www.crunchbase.com/organization/packetstream-a5dd,Seed,,,,2019-03-25,"Hector Sahagun, Rogelio Choy"
Series A - Spinbackup,https://www.crunchbase.com/funding_round/spinbackup-llc-series-a--9d45914c,Spinbackup,https://www.crunchbase.com/organization/spinbackup-llc,Series A,1500000,USD,1500000,2018-12-16,"bValue Venture Capital, TMT Investments"
Initial Coin Offering - NuCypher,https://www.crunchbase.com/funding_round/nucypher-initial-coin-offering--d7cfe51b,NuCypher,https://www.crunchbase.com/organization/nucypher,Initial Coin Offering,,,,2017-10-30,Kenetic
Grant - D-ID,https://www.crunchbase.com/funding_round/d-id-grant--51b57270,D-ID,https://www.crunchbase.com/organization/d-id,Grant,71429,EUR,81868,2019-01-01,EASME - EU Executive Agency for SMEs
Series A - WireWheel.io,https://www.crunchbase.com/funding_round/wirewheel-io-series-a--33d7a862,WireWheel.io,https://www.crunchbase.com/organization/wirewheel-io,Series A,10000000,USD,10000000,2018-10-25,"Grotech Ventures, New Enterprise Associates, PSP Growth, Rise of the Rest, SaaS Ventures, Sands Capital Ventures"
Convertible Note - Helm,https://www.crunchbase.com/funding_round/privacy-labs-convertible-note--83736c5a,Helm,https://www.crunchbase.com/organization/privacy-labs,Convertible Note,,,,2019-04-19,Arrive
Pre Seed Round - Metomic,https://www.crunchbase.com/funding_round/metomic-pre-seed--17709798,Metomic,https://www.crunchbase.com/organization/metomic,Pre-Seed,80000,GBP,106815,2018-06-01,Entrepreneur First
Secondary Market - Nextdoor,https://www.crunchbase.com/funding_round/nextdoor-secondary-market--ab6b7722,Nextdoor,https://www.crunchbase.com/organization/nextdoor,Secondary Market,,,,2018-03-31,SharesPost Investment Management
Seed Round - Metomic,https://www.crunchbase.com/funding_round/metomic-seed--7a8ae9e7,Metomic,https://www.crunchbase.com/organization/metomic,Seed,1420000,GBP,1797547,2019-05-28,Connect Ventures
Corporate Round - BEAM,https://www.crunchbase.com/funding_round/beam-0b5a-corporate-round--9f875de9,BEAM,https://www.crunchbase.com/organization/beam-0b5a,Corporate Round,25000000,USD,25000000,2019-02-18,Recruit Strategic Partners
Pre Seed Round - Kalepso,https://www.crunchbase.com/funding_round/kalepso-pre-seed--204903b6,Kalepso,https://www.crunchbase.com/organization/kalepso,Pre-Seed,800000,CAD,640959,2017-10-01,TandemLaunch
Angel Round - MobilePages Inc.,https://www.crunchbase.com/funding_round/mobilepages-angel--b7cb34c0,MobilePages Inc.,https://www.crunchbase.com/organization/mobilepages,Angel,,,,2017-08-27,Terell Sterling
Angel Round - DataGrail,https://www.crunchbase.com/funding_round/datagrail-angel--b95ea687,DataGrail,https://www.crunchbase.com/organization/datagrail,Angel,200000,USD,200000,2018-05-30,Peter Kazanjy
Corporate Round - Privitar,https://www.crunchbase.com/funding_round/privitar-corporate-round--bcb94768,Privitar,https://www.crunchbase.com/organization/privitar,Corporate Round,1794543,GBP,2253963,2018-12-10,Citigroup
Seed Round - Tenta Browser,https://www.crunchbase.com/funding_round/tenta-browser-seed--2c48d99b,Tenta Browser,https://www.crunchbase.com/organization/tenta-browser,Seed,,,,2019-01-17,ConsenSys Ventures
Seed Round - Token,https://www.crunchbase.com/funding_round/token-3-seed--2f873b12,Token,https://www.crunchbase.com/organization/token-3,Seed,300000,USD,300000,2019-04-02,
Series B - Dessmann,https://www.crunchbase.com/funding_round/dessmann-series-b--2bf93e21,Dessmann,https://www.crunchbase.com/organization/dessmann,Series B,100000000,CNY,14512103,2018-11-02,"Hotata, Red Star Macalline, Share Capital"
Non Equity Assistance - Secure AI Labs,https://www.crunchbase.com/funding_round/secure-ai-labs-non-equity-assistance--edf71579,Secure AI Labs,https://www.crunchbase.com/organization/secure-ai-labs,Non-equity Assistance,,,,2018-09-08,MIT delta v
Pre Seed Round - Kindite,https://www.crunchbase.com/funding_round/kindite-pre-seed--480abe92,Kindite,https://www.crunchbase.com/organization/kindite,Pre-Seed,,,,2018-01-01,The Junction
Pre Seed Round - PacketStream,https://www.crunchbase.com/funding_round/packetstream-a5dd-pre-seed--2193dd98,PacketStream,https://www.crunchbase.com/organization/packetstream-a5dd,Pre-Seed,,,,2018-06-01,Bell Standard
Initial Coin Offering - Telegram Messenger,https://www.crunchbase.com/funding_round/telegram-messenger-initial-coin-offering--00da4d21,Telegram Messenger,https://www.crunchbase.com/organization/telegram-messenger,Initial Coin Offering,850000000,USD,850000000,2018-02-16,"Alexis Berthoud, Concentric, Dalma Capital, O.D. Kobo"
Seed Round - Guardian Firewall,https://www.crunchbase.com/funding_round/guardian-mobile-firewall-seed--e2d6d58d,Guardian Firewall,https://www.crunchbase.com/organization/guardian-mobile-firewall,Seed,850000,USD,850000,2018-11-01,Stephen Russell
Seed Round - Mostly AI,https://www.crunchbase.com/funding_round/mostly-ai-seed--66c61fce,Mostly AI,https://www.crunchbase.com/organization/mostly-ai,Seed,,,,2018-11-19,PUSH Ventures
Funding Round - RADAR,https://www.crunchbase.com/funding_round/radar-llc-undisclosed--6691fc52,RADAR,https://www.crunchbase.com/organization/radar-llc,Funding Round,,,,2018-11-12,Vista Equity Partners
