Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Investor Names
Seed Round - Shoonya,https://www.crunchbase.com/funding_round/shoonya-seed--729bd943,Shoonya,https://www.crunchbase.com/organization/shoonya,Seed,2000000,USD,2000000,2018-06-06,"Andrew Lee, Haystack, Pathbreaker Ventures, Root Ventures, Ubiquity Ventures"
Convertible Note - PatternEx,https://www.crunchbase.com/funding_round/patternex-convertible-note--7c4dafcf,PatternEx,https://www.crunchbase.com/organization/patternex,Convertible Note,,,,2017-07-16,"CTW Venture Partners, Maxim Ventures, Monta Vista Capital"
Seed Round - Dover Microsystems,https://www.crunchbase.com/funding_round/dover-microsystems-seed--4d80d47d,Dover Microsystems,https://www.crunchbase.com/organization/dover-microsystems,Seed,6000000,USD,6000000,2018-02-21,"Draper, Hub Angels Investment Group, Hyperplane Venture Capital, Qualcomm Ventures"
Venture Round - Hornetsecurity,https://www.crunchbase.com/funding_round/hornetsecurity-series-unknown--ce43de36,Hornetsecurity,https://www.crunchbase.com/organization/hornetsecurity,Venture - Series Unknown,,,,2017-10-27,
Series A - Rubica,https://www.crunchbase.com/funding_round/rubica-series-a--a34d5ef3,Rubica,https://www.crunchbase.com/organization/rubica,Series A,9000000,USD,9000000,2018-03-13,"Anonymous Trust, Lerer Hippeau, Reflective Venture Partners, Slow Ventures, Upfront Ventures"
Seed Round - Giroxx,https://www.crunchbase.com/funding_round/giroxx-seed--c85aeb9e,Giroxx,https://www.crunchbase.com/organization/giroxx,Seed,500000,EUR,594646,2017-09-04,Hessen Kapital I GmbH
Venture Round - Keep,https://www.crunchbase.com/funding_round/keep-series-unknown--ed0ee4c9,Keep,https://www.crunchbase.com/organization/keep,Venture - Series Unknown,,,,2018-04-01,"Andreessen Horowitz, Compound, Dekrypt Capital, Fabric Ventures, Green Bay Ventures, Polychain, Synapse Capital"
Series A - Contguard,https://www.crunchbase.com/funding_round/contguard-series-a--1d16c602,Contguard,https://www.crunchbase.com/organization/contguard,Series A,10000000,USD,10000000,2018-06-30,"AXA Group, Canaan Partners, Citigroup"
Seed Round - Smart Protection,https://www.crunchbase.com/funding_round/smart-protection-seed--48b59ff1,Smart Protection,https://www.crunchbase.com/organization/smart-protection,Seed,880000,EUR,1003591,2017-07-13,"Bankinter Capital Riesgo, Big Sur Ventures, JME Ventures, Wayra"
Venture Round - Kaseya,https://www.crunchbase.com/funding_round/kaseya-series-unknown--653955ee,Kaseya,https://www.crunchbase.com/organization/kaseya,Venture - Series Unknown,38000000,EUR,44777315,2017-11-15,Ireland Strategic Investment Fund
Seed Round - Cardsmobile,https://www.crunchbase.com/funding_round/cardsmobile-seed--d4f37687,Cardsmobile,https://www.crunchbase.com/organization/cardsmobile,Seed,,,,2018-05-15,Alfa-Bank
Seed Round - Loqr,https://www.crunchbase.com/funding_round/loqr-seed--b4b4c8e6,Loqr,https://www.crunchbase.com/organization/loqr,Seed,1140000,EUR,1402476,2018-03-29,"Betwixt Ventures, Big Start Ventures, EDP, REDangels, Startup Braga"
