Date,City,State,Demand,Paid,Year,Ransom
"Nov, 2013",Swansea PD,MA,$750,Y,2013,750
"Dec, 2013",Greenland,NH,$300,N,2013,300
"Jun, 2014",Durham PD,NH,Unknown,N,2014,Unknown
"Jun, 2014",Collinsville PD,AL,Unknown,N,2014,Unknown
"Nov, 2014",Dickson Sheriff Dept,TN,$572,Y,2014,572
"Feb, 2015",Midlothian PD,IL,$500,Y,2015,500
"Apr, 2015",Tewksbury,MA,$500,Y,2015,500
"Apr, 2015",Lincoln County Police,ME,$300,Y,2015,300
"Jan, 2016",Medfield,MA,$300,Y,2016,300
"Feb, 2016",Park County,WY,Unknown,N,2016,Unknown
"Feb, 2016",Arizona Superior Ct,AZ,Unknown,N,2016,Unknown
"Feb, 2016",Los Angeles County Health Dept,CA,Unknown,N,2016,Unknown
"Feb, 2016",Oxford School District,MS,Unknown,N,2016,Unknown
"Feb, 2016",Durham,NC,Unknown,N,2016,Unknown
"Feb, 2016",Horry County School District,SC,"$8,000",N,2016,8000
"Feb, 2016",Melrose PD,MA,$489,Y,2016,489
"Mar, 2016",Kankakee County,IL,Unknown,N,2016,Unknown
"Mar, 2016",Manlius,NY,$400,N,2016,400
"Mar, 2016",Cloquet School District,MN,"$6,000",N,2016,6000
"Mar, 2016",Clark County Water Reclamation,NV,Unknown,U,2016,Unknown
"Apr, 2016",Plainfield,NJ,$650,N,2016,650
"Apr, 2016",Lansing Board of Water and Light,MI,"$25,000",Y,2016,25000
"May, 2016",Pinal County Attorney's Office,AZ,Unknown,N,2016,Unknown
"May, 2016",Grant County Education Service District,OR,Unknown,N,2016,Unknown
"May, 2016",Rhinebeck School District,NY,$500,N,2016,500
"Jun, 2016",Henry County 911,TN,Unknown,N,2016,Unknown
"Jun, 2016",Palm Beach 911 Services,FL,Unknown,N,2016,Unknown
"Jun, 2016",Janesville,WI,Unknown,U,2016,Unknown
"Jun, 2016",Columbiana County Juvenile Court,OH,"$2,883",Y,2016,2883
"Jul, 2016",Woodbury County,IA,Unknown,N,2016,Unknown
"Jul, 2016",Wadena,MN,Unknown,N,2016,Unknown
"Aug, 2016",Sarasota,FL,"$33,000,000",N,2016,33000000
"Aug, 2016",State Police,RI,Unknown,N,2016,Unknown
"Aug, 2016",Barnstable PD,MA,Unknown,N,2016,Unknown
"Sep, 2016",Yuba City,CA,Unknown,N,2016,Unknown
"Sep, 2016",Palm Beach 911 Services,FL,Unkonwn,N,2016,Unknown
"Sep, 2016","Honolulu, FD",HI,Unknown,N,2016,Unknown
"Sep, 2016",Crow Wing County,MN,Unknown,N,2016,Unknown
"Sep, 2016",Dep of Mineral Resources,ND,$350,N,2016,350
"Sep, 2016",Springfield,TN,"$1,000",N,2016,1000
"Sep, 2016",Palm Hill PD,TX,$250,U,2016,250
"Oct, 2016",Henry County,OH,Unknown,N,2016,Unknown
"Oct, 2016",Mount Holly Springs PD,PA,$500,N,2016,500
"Nov, 2016",San Francisco Muni,CA,"$73,000",N,2016,73000
"Nov, 2016",Howard County,IN,Unknown,N,2016,Unknown
"Nov, 2016",St Mary's County,MD,Unknown,N,2016,Unknown
"Nov, 2016",Bigfork School District,MT,Unknown,N,2016,Unknown
"Nov, 2016",Madison County (and PD),IN,"$21,000",Y,2016,21000
"Dec, 2016",Alpena School System,MI,Unknown,N,2016,Unknown
"Dec, 2016",Mt Pleasant PD,SC,Unknown,N,2016,Unknown
"Dec, 2016",Cockrell Hill Police Dept,TX,"$4,000",N,2016,4000
"Dec, 2016",Allegheny County State Prosecutor,PA,"$1,400",Y,2016,1400
"Dec, 2016",Carroll County Sheriff's Dept,AR,"$2,400",Y,2016,2400
