Date,City,State,Demand,Paid,Year
"Nov, 2013",Swansea PD,MA,$750,Y,2013
"Dec, 2013",Greenland,NH,$300,N,2013
"Jun, 2014",Durham PD,NH,Unknown,N,2014
"Jun, 2014",Collinsville PD,AL,Unknown,N,2014
"Nov, 2014",Dickson Sheriff Dept,TN,$572,Y,2014
"Feb, 2015",Midlothian PD,IL,$500,Y,2015
"Apr, 2015",Tewksbury,MA,$500,Y,2015
"Apr, 2015",Lincoln County Police,ME,$300,Y,2015
"Jan, 2016",Medfield,MA,$300,Y,2016
"Feb, 2016",Park County,WY,Unknown,N,2016
"Feb, 2016",Arizona Superior Ct,AZ,Unknown,N,2016
"Feb, 2016",Los Angeles County Health Dept,CA,Unknown,N,2016
"Feb, 2016",Oxford School District,MS,Unknown,N,2016
"Feb, 2016",Durham,NC,Unknown,N,2016
"Feb, 2016",Horry County School District,SC,"$8,000",N,2016
"Feb, 2016",Melrose PD,MA,$489,Y,2016
"Mar, 2016",Kankakee County,IL,Unknown,N,2016
"Mar, 2016",Manlius,NY,$400,N,2016
"Mar, 2016",Cloquet School District,MN,"$6,000",N,2016
"Mar, 2016",Clark County Water Reclamation,NV,Unknown,U,2016
"Apr, 2016",Plainfield,NJ,$650,N,2016
"Apr, 2016",Lansing Board of Water and Light,MI,"$25,000",Y,2016
"May, 2016",Pinal County Attorney's Office,AZ,Unknown,N,2016
"May, 2016",Grant County Education Service District,OR,Unknown,N,2016
"May, 2016",Rhinebeck School District,NY,$500,N,2016
"Jun, 2016",Henry County 911,TN,Unknown,N,2016
"Jun, 2016",Palm Beach 911 Services,FL,Unknown,N,2016
"Jun, 2016",Janesville,WI,Unknown,U,2016
"Jun, 2016",Columbiana County Juvenile Court,OH,"$2,883",Y,2016
"Jul, 2016",Woodbury County,IA,Unknown,N,2016
"Jul, 2016",Wadena,MN,Unknown,N,2016
"Aug, 2016",Sarasota,FL,"$33,000",N,2016
"Aug, 2016",State Police,RI,Unknown,N,2016
"Aug, 2016",Barnstable PD,MA,Unknown,N,2016
"Sep, 2016",Yuba City,CA,Unknown,N,2016
"Sep, 2016",Palm Beach 911 Services,FL,Unknown,N,2016
"Sep, 2016","Honolulu, FD",HI,Unknown,N,2016
"Sep, 2016",Crow Wing County,MN,Unknown,N,2016
"Sep, 2016",Dep of Mineral Resources,ND,$350,N,2016
"Sep, 2016",Springfield,TN,"$1,000",N,2016
"Sep, 2016",Palm Hill PD,TX,$250,U,2016
"Oct, 2016",Henry County,OH,Unknown,N,2016
"Oct, 2016",Mount Holly Springs PD,PA,$500,N,2016
"Nov, 2016",San Francisco Muni,CA,"$73,000",N,2016
"Nov, 2016",Howard County,IN,Unknown,N,2016
"Nov, 2016",St Mary's County,MD,Unknown,N,2016
"Nov, 2016",Bigfork School District,MT,Unknown,N,2016
"Nov, 2016",Madison County (and PD),IN,"$21,000",Y,2016
"Dec, 2016",Alpena School System,MI,Unknown,N,2016
"Dec, 2016",Mt Pleasant PD,SC,Unknown,N,2016
"Dec, 2016",Cockrell Hill Police Dept,TX,"$4,000",N,2016
"Dec, 2016",Allegheny County State Prosecutor,PA,"$1,400",Y,2016
"Dec, 2016",Carroll County Sheriff's Dept,AR,"$2,400",Y,2016
"Dec, 2016",Los Angeles Valley College,CA,"$28,000",Y,2016
"Dec, 2016",Bighton PD,MA,"$4,600",Y,2016
"Jan, 2017",Washington,DC,Unknown,N,2017
"Jan, 2017",Marion County,FL,Unknown,N,2017
"Jan, 2017",St Louis Public Library,MO,"$35,000",N,2017
"Jan, 2017",Kanawha County Board of Education,WV,Unknown,N,2017
"Jan, 2017",Warren County Sheriff's Dept,MO,Unknown,U,2017
"Feb, 2017",Bingham County (and Dispatch,ID,"$30,000",N,2017
"Feb, 2017",Roxana Police Department,IL,Unknown,N,2017
"Feb, 2017",Office of Management and Enterprise,OK,Unknown,N,2017
"Feb, 2017",Licking County,OH,Unknown,Y,2017
"Mar, 2017",PA State Senate Democrats,PA,Unknown,N,2017
"Mar, 2017",Wood River Police Department,IL,Unknown,N,2017
"Apr, 2017",Troup County (and PD),GA,"$39,600",N,2017
"Apr, 2017",Perkin High School,IL,"$37,000",N,2017
"Apr, 2017",Forsyth Public Schools,MT,Unknown,N,2017
"Apr, 2017",Newark,NJ,"$30,000",Y,2017
"May, 2017",Cook County,IL,Unknown,N,2017
"May, 2017",Murfreesboro PD & FD,TN,Unknown,N,2017
"Jun, 2017",Rensselaer County Library,NY,Unknown,N,2017
"Jul, 2017",Marion County Fairgrounds,IN,"$1,000",N,2017
"Jul, 2017",Cape May County,NJ,Unknown,U,2017
"Jul, 2017",Brownsburg Public Library,IN,"$1,000",Y,2017
"Aug, 2017",Iberia Parish Sheriff's Office,LA,Unknown,N,2017
"Aug, 2017",Washington,MO,Unknown,N,2017
"Aug, 2017",Becker County,MN,Unknown,U,2017
"Aug, 2017",Dorchester School District,SC,"$2,900",Y,2017
"Sep, 2017",St Johnsbury,VT,$250,N,2017
"Sep, 2017",Butler County (and PD),KS,Unknown,U,2017
"Sep, 2017",Indianhead Library System,WI,Unknown,U,2017
"Oct, 2017",Englewood,CO,Unknown,N,2017
"Oct, 2017",Topsham,ME,Unknown,N,2017
"Oct, 2017",Texas Dept of Agriculture,TX,Unknown,U,2017
"Oct, 2017",Yarrow Point,WA,"$9,170",Y,2017
"Nov, 2017",Sacramento Transit System,CA,"$8,000",N,2017
"Nov, 2017",Spring Hill (and 911 Services),TN,"$250,000",N,2017
"Dec, 2017",Mecklenburg County (and PD),NC,"$23,000",N,2017
"Dec, 2017",Dept of Agriculture,GA,Unknown,N,2017
"Dec, 2017",Jerome School District,ID,"$65,000",N,2017
"Dec, 2017",Mad River Fire & EMS,OH,"$11,400",N,2017
"Dec, 2017",Nashotah,WI,"$2,000",Y,2017
"Jan, 2018",Farmington,NM,"$35,000",N,2018
"Jan, 2018",Spartanburg County Library,SC,"$35,000",N,2018
"Jan, 2018",Chester County School District,SC,Unknown,N,2018
"Jan, 2018",Belle Fourche,SD,Unknown,N,2018
"Jan, 2018",Maury County Public Schools,TN,Unknown,N,2018
"Feb, 2018",Colorado Dept of Transportation,CO,Unknown,N,2018
"Feb, 2018",Davidson County,NC,"$23,000",N,2018
"Feb, 2018",Johnson County Sheriff's Dept,AR,0,N,2018
"Feb, 2018",Hinesville,GA,Unknown,N,2018
