Date,,City,State,Family,Demand,Attribution,Paid,Link,Date,City,State,Family,Demand,Attribution,Paid,Link
"Nov, 2013",Swansea PD,,MA,CryptoLocker,$750,—,Y,Source,"Oct, 2017",Texas Dept of Agriculture,TX,Unknown,Unknown,—,U,Source
"Dec, 2013",Greenland,,NH,CryptoLocker,$300,—,N,Source,"Oct, 2017",Yarrow Point,WA,Unknown,"$9,170",—,Y,Source
"Jun, 2014",Durham PD,,NH,CryptoWall,Unknown,—,N,Source,"Nov, 2017",Sacramento Transit System,CA,Unknown,"$8,000",—,N,Source
"Jun, 2014",Collinsville PD,,AL,Unknown,Unknown,—,N,Source,"Nov, 2017",Spring Hill (and 911 Services),TN,Unknown,"$250,000",—,N,Source
"Nov, 2014",Dickson Sheriff Dept,,TN,CryptoWall,$572,—,Y,Source,"Dec, 2017",Mecklenburg County (and PD),NC,LockCrypt,"$23,000",—,N,Source
"Feb, 2015",Midlothian PD,,IL,Unknown,$500,—,Y,Source,"Dec, 2017",Dept of Agriculture,GA,Unknown,Unknown,—,N,Source
"Apr, 2015",Tewksbury,,MA,CryptoLocker,$500,—,Y,Source,"Dec, 2017",Jerome School District,ID,Unknown,"$65,000",—,N,Source
"Apr, 2015",Lincoln County Police,,ME,Megacode,$300,—,Y,Source,"Dec, 2017",Mad River Fire & EMS,OH,Unknown,"$11,400",—,N,Source
"Jan, 2016",Medfield,,MA,Unknown,$300,—,Y,Source,"Dec, 2017",Nashotah,WI,Unknown,"$2,000",—,Y,Source
"Feb, 2016",Park County,,WY,TeslaCrypt,Unknown,—,N,Source,"Jan, 2018",Farmington,NM,SamSam,"$35,000",—,N,Source
"Feb, 2016",Arizona Superior Ct,,AZ,Unknown,Unknown,—,N,Source,"Jan, 2018",Spartanburg County Library,SC,Unknown,"$35,000",—,N,Source
"Feb, 2016",Los Angeles County Health Dept,,CA,Unknown,Unknown,—,N,Source,"Jan, 2018",Chester County School District,SC,Unknown,Unknown,—,N,Source
"Feb, 2016",Oxford School District,,MS,Unknown,Unknown,—,N,Source,"Jan, 2018",Belle Fourche,SD,Unknown,Unknown,—,N,Source
"Feb, 2016",Durham,,NC,Unknown,Unknown,—,N,Source,"Jan, 2018",Maury County Public Schools,TN,Unknown,Unknown,—,N,Source
"Feb, 2016",Horry County School District,,SC,Unknown,"$8,000",—,N,Source,"Feb, 2018",Colorado Dept of Transportation,CO,SamSam,Unknown,Iran,N,Source
"Feb, 2016",Melrose PD,,MA,Unknown,$489,—,Y,Source,"Feb, 2018",Davidson County,NC,SamSam,"$23,000",Iran,N,Source
"Mar, 2016",Kankakee County,,IL,CryptoWall,Unknown,—,N,Source,"Feb, 2018",Johnson County Sheriff's Dept,AR,Unknown,None,—,N,Source
"Mar, 2016",Manlius,,NY,LeChiffre,$400,Russia,N,Source,"Feb, 2018",Hinesville,GA,Unknown,Unknown,—,N,Source
"Mar, 2016",Cloquet School District,,MN,Unknown,"$6,000",—,N,Source,"Feb, 2018",Connecticut State Agencies,CT,WannaCry,"$48,000",North Korea,N,Source
"Mar, 2016",Clark County Water Reclamation,,NV,Unknown,Unknown,—,U,Source,"Feb, 2018",Savannah (and Savannah PD),GA,Unknown,Unknown,—,Y,Source
"Apr, 2016",Plainfield,,NJ,Unknown,$650,—,N,Source,"Mar, 2018",Plymouth & Plymouth PD,CT,GandCrab,Unknown,—,N,Source
"Apr, 2016",Lansing Board of Water and Light,,MI,Unknown,"$25,000",—,Y,Source,"Mar, 2018",Colorado Dept of Transportation,CO,SamSam,Unknown,Iran,N,Source
"May, 2016",Pinal County Attorney's Office,,AZ,CryptoLocker,Unknown,—,N,Source,"Mar, 2018",Atlanta (and Atlanta PD),GA,SamSam,"$55,000",Iran,N,Source
"May, 2016",Grant County Education Service District,,OR,Scarab,Unknown,—,N,Source,"Mar, 2018",Portland,CT,Unknown,"$2,000",—,N,Source
"May, 2016",Rhinebeck School District,,NY,Unknown,$500,—,N,Source,"Mar, 2018",Portland (II),CT,Unknown,"$2,000",—,N,Source
"Jun, 2016",Henry County 911,,TN,Scarab,Unknown,—,N,Source,"Mar, 2018",Connecticut Judicial Branch,CT,Unknown,Unknown,—,N,Source
"Jun, 2016",Palm Beach 911 Services,,FL,Unknown,Unknown,—,N,Source,"Mar, 2018",Baltimore 911 System,MD,Unknown,Unknown,—,N,Source
"Jun, 2016",Janesville,,WI,Unknown,Unknown,—,U,Source,"Mar, 2018",Mississippi Valley State University,MS,SamSam,Unknown,Iran,U,Source
"Jun, 2016",Columbiana County Juvenile Court,,OH,Unknown,"$2,883",—,Y,Source,"Mar, 2018","Leeds (City, FD and PD)",AL,Unknown,"$8,000",—,Y,Source
"Jul, 2016",Woodbury County,,IA,Unknown,Unknown,—,N,Source,"Apr, 2018",Dawson County,GA,Unknown,Unknown,—,N,Source
"Jul, 2016",Wadena,,MN,Unknown,Unknown,—,N,Source,"Apr, 2018",Ashland Community Library,ME,Unknown,$400,—,N,Source
"Aug, 2016",Sarasota,,FL,Unknown,"$33,000,000",—,N,Source,"Apr, 2018",Rockport,ME,Unknown,"$1,000",—,N,Source
"Aug, 2016",State Police,,RI,Unknown,Unknown,—,N,Source,"Apr, 2018",Riverside FD & PD,OH,Unknown,Unknown,—,N,Source
"Aug, 2016",Barnstable PD,,MA,Unknown,Unknown,—,N,Source,"Apr, 2018",Richmond,VA,Unknown,Unknown,—,N,Source
"Sep, 2016",Yuba City,,CA,Unknown,Unknown,—,N,Source,"Apr, 2018",Leominster School District,MA,Unknown,"$10,000",—,Y,Source
"Sep, 2016",Palm Beach 911 Services,,FL,Unknown,Unkonwn,—,N,Source,"May, 2018",Pasquotank,NC,Scarab,"$2,500",—,N,Source
"Sep, 2016","Honolulu, FD",,HI,Unknown,Unknown,—,N,Source,"May, 2018",Winder,GA,Unknown,"$320,000",—,N,Source
"Sep, 2016",Crow Wing County,,MN,Unknown,Unknown,—,N,Source,"May, 2018",Riverside FD & PD,OH,Unknown,Unknown,—,N,Source
"Sep, 2016",Dep of Mineral Resources,,ND,Unknown,$350,—,N,Source,"May, 2018",Roseburg Public Schools,OR,Unknown,Unknown,—,N,Source
"Sep, 2016",Springfield,,TN,Unknown,"$1,000",—,N,Source,"Jun, 2018",Jefferson Village,OH,Unknown,"$4,900",—,N,Source
"Sep, 2016",Palm Hill PD,,TX,Unknown,$250,—,U,Source,"Jun, 2018",State Agencies,RI,Unknown,Unknown,—,N,Source
"Oct, 2016",Henry County,,OH,Unknown,Unknown,—,N,Source,"Jun, 2018",Middletown School District,CT,Unknown,Unknown,—,U,Source
"Oct, 2016",Mount Holly Springs PD,,PA,Unknown,$500,—,N,Source,"Jul, 2018",Mat-Su,AK,Bitpaymer,"$400,000",—,N,Source
"Nov, 2016",San Francisco Muni,,CA,HDDCryptor,"$73,000",—,N,Source,"Jul, 2018",Derby Police Dept,CT,Unknown,Unknown,—,N,Source
"Nov, 2016",Howard County,,IN,Unknown,Unknown,—,N,Source,"Jul, 2018",Valdez,AK,Hermes,"$26,000",—,Y,Source
"Nov, 2016",St Mary's County,,MD,Unknown,Unknown,—,N,Source,"Jul, 2018",Westmoreland County Housing Authority,PA,Unknown,"$6,500",—,Y,Source
"Nov, 2016",Bigfork School District,,MT,Unknown,Unknown,—,N,Source,"Aug, 2018",Coweta County and Public Safety,GA,Unknown,Unknown,—,N,Source
"Nov, 2016",Madison County (and PD),,IN,Unknown,"$21,000",—,Y,Source,"Aug, 2018",Cloquet School District,MN,Unknown,Unknown,—,N,Source
"Dec, 2016",Alpena School System,,MI,Unknown,Unknown,—,N,Source,"Sep, 2018",Monroe County School District,FL,GandCrab,Unknown,—,N,Source
"Dec, 2016",Mt Pleasant PD,,SC,Unknown,Unknown,—,N,Source,"Sep, 2018",Port of San Diego (Harbor and PD),CA,SamSam,Unknown,Iran,N,Source
"Dec, 2016",Cockrell Hill Police Dept,,TX,Unknown,"$4,000",—,N,Source,"Sep, 2018",Marblehead,MA,Unknown,Unknown,—,N,Source
"Dec, 2016",Allegheny County State Prosecutor,,PA,Nymain,"$1,400",—,Y,Source,"Sep, 2018",Beatrice (and PD & FD),NE,Unknown,Unknown,—,U,Source
"Dec, 2016",Carroll County Sheriff's Dept,,AR,Unknown,"$2,400",—,Y,Source,"Oct, 2018",Onslow County Water and Sewer,NC,Ryuk,Unknown,—,N,Source
"Dec, 2016",Los Angeles Valley College,,CA,Unknown,"$28,000",—,Y,Source,"Oct, 2018",Muscatine (City & PD),IA,Unknown,Unknown,—,N,Source
"Dec, 2016",Bighton PD,,MA,Unknown,"$4,600",—,Y,Source,"Oct, 2018",Madison County,ID,Unknown,Unknown,—,N,Source
"Jan, 2017",Washington,,DC,Cerber,Unknown,—,N,Source,"Oct, 2018",Moultrie County,IL,Unknown,Unknown,—,U,Source
"Jan, 2017",Marion County,,FL,Unknown,Unknown,—,N,Source,"Oct, 2018",Crawford County,IL,Unknown,Unknown,—,U,Source
"Jan, 2017",St Louis Public Library,,MO,Unknown,"$35,000",—,N,Source,"Oct, 2018",Indiana National Guard,IN,Unknown,Unknown,—,U,Source
"Jan, 2017",Kanawha County Board of Education,,WV,Unknown,Unknown,—,N,Source,"Oct, 2018",West Haven,CT,Unknown,"$2,000",—,Y,Source
"Jan, 2017",Warren County Sheriff's Dept,,MO,CryptoMix,Unknown,—,U,Source,"Nov, 2018",Rockaway Township PD,NJ,Unknown,Unknown,—,U,Source
"Feb, 2017",Bingham County (and Dispatch,,ID,Unknown,"$30,000",—,N,Source,"Nov, 2018",Johannesburg-Lewiston School Distric,MI,Unknown,Unknown,—,Y,Source
"Feb, 2017",Roxana Police Department,,IL,Unknown,Unknown,—,N,Source,"Dec, 2018",North Bend (and PD),OR,PewCrypt,"$50,000",Romania,N,Source
"Feb, 2017",Office of Management and Enterprise,,OK,Unknown,Unknown,—,N,Source,"Dec, 2018",Jupiter,FL,Unknown,Unknown,—,N,Source
"Feb, 2017",Licking County,,OH,Unknown,Unknown,—,Y,Source,"Jan, 2019",Lamar County Sheriff's Dept,TX,Dharma,Unknown,—,N,Source
"Mar, 2017",PA State Senate Democrats,,PA,Unknown,Unknown,—,N,Source,"Jan, 2019",Salisbury PD,MD,Unknown,Unknown,—,N,Source
